Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Qiao, Yu","
SE 2L - Stuctural Materials Lab (B)
",FA16,15,"
4
","
100.0%
","
66.7%
","
3.17
","
A (4.00)
","
N/A
"
"Kad, Bimal K.","
SE 2L - Stuctural Materials Lab (A)
",S116,13,"
4
","
100.0%
","
100.0%
","
6.50
","
B+ (3.50)
","
N/A
"
"Kad, Bimal K.","
SE 2L - Stuctural Materials Lab (B)
",S116,9,"
4
","
100.0%
","
100.0%
","
5.50
","
A- (3.75)
","
N/A
"
"Kad, Bimal K.","
SE 2L - Stuctural Materials Lab (C)
",S116,15,"
10
","
88.9%
","
88.9%
","
5.61
","
B (3.25)
","
N/A
"
"Qiao, Yu","
SE 2L - Stuctural Materials Lab (A)
",SP16,15,"
3
","
100.0%
","
100.0%
","
5.83
","
C+ (2.67)
","
N/A
"
"Qiao, Yu","
SE 2L - Stuctural Materials Lab (C)
",SP16,15,"
4
","
75.0%
","
75.0%
","
6.00
","
B (3.00)
","
N/A
"
"Qiao, Yu","
SE 2L - Stuctural Materials Lab (E)
",SP16,16,"
5
","
100.0%
","
100.0%
","
6.50
","
C+ (2.60)
","
N/A
"
"Qiao, Yu","
SE 2L - Stuctural Materials Lab (G)
",SP16,16,"
6
","
60.0%
","
80.0%
","
7.30
","
A- (3.75)
","
N/A
"
"Qiao, Yu","
SE 2L - Stuctural Materials Lab (H)
",SP16,14,"
9
","
87.5%
","
50.0%
","
9.00
","
B+ (3.38)
","
N/A
"
"Qiao, Yu","
SE 2L - Stuctural Materials Lab (B)
",FA15,16,"
6
","
50.0%
","
50.0%
","
3.17
","
B+ (3.50)
","
N/A
"
"Qiao, Yu","
SE 2L - Stuctural Materials Lab (C)
",FA15,16,"
6
","
60.0%
","
60.0%
","
5.70
","
B (3.00)
","
N/A
"
"Qiao, Yu","
SE 2L - Stuctural Materials Lab (D)
",FA15,16,"
6
","
80.0%
","
80.0%
","
5.00
","
B+ (3.50)
","
N/A
"
"Qiao, Yu","
SE 2L - Stuctural Materials Lab (E)
",FA15,16,"
4
","
100.0%
","
100.0%
","
4.00
","
B+ (3.50)
","
N/A
"
"Kad, Bimal K.","
SE 2L - Stuctural Materials Lab (A)
",S215,15,"
11
","
81.8%
","
81.8%
","
8.30
","
A- (3.90)
","
N/A
"
"Qiao, Yu","
SE 2L - Stuctural Materials Lab (0)
",SP15,135,"
54
","
87.0%
","
72.2%
","
6.27
","
B+ (3.60)
","
B (3.24)
"
"Qiao, Yu","
SE 2L - Stuctural Materials Lab (A)
",FA14,27,"
8
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
B- (2.96)
"
"Kad, Bimal K.","
SE 2L - Stuctural Materials Lab (A)
",S114,17,"
10
","
90.0%
","
90.0%
","
3.83
","
A- (3.89)
","
N/A
"
"Kad, Bimal K.","
SE 2L - Stuctural Materials Lab (B)
",S114,15,"
4
","
100.0%
","
100.0%
","
5.83
","
A (4.00)
","
N/A
"
"Kad, Bimal K.","
SE 2L - Stuctural Materials Lab (C)
",S114,14,"
5
","
100.0%
","
80.0%
","
7.70
","
B+ (3.60)
","
N/A
"
"Qiao, Yu","
SE 2L - Stuctural Materials Lab (A)
",SP14,135,"
43
","
84.6%
","
69.2%
","
5.62
","
B+ (3.66)
","
B (3.21)
"
