Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Zobell, Vanessa Mary","
SIO 90 - Undergraduate Seminar (A)
",SP23,61,"
32
","
100.0%
","
100.0%
","
0.90
","
A- (3.92)
","
N/A
"
"Lucas, Andrew J.","
SIO 90 - Undergraduate Seminar (A)
",WI23,61,"
40
","
100.0%
","
100.0%
","
0.65
","
A (4.00)
","
N/A
"
"Chamberlain, Emelia Janthina","
SIO 90 - Undergraduate Seminar (A)
",FA22,57,"
22
","
100.0%
","
100.0%
","
1.50
","
A- (3.73)
","
N/A
"
"Pezner, Ariel Katharine","
SIO 90 - Undergraduate Seminar (A)
",SP22,55,"
19
","
100.0%
","
100.0%
","
0.71
","
A (4.00)
","
N/A
"
"Sanchez, Robert Manuel","
SIO 90 - Undergraduate Seminar (A)
",WI22,69,"
39
","
100.0%
","
97.4%
","
0.91
","
A- (3.88)
","
N/A
"
"Lucas, Andrew J.","
SIO 90 - Undergraduate Seminar (A)
",FA21,65,"
30
","
92.6%
","
96.3%
","
0.57
","
B+ (3.50)
","
N/A
"
"Posdaljian, Natalie","
SIO 90 - Undergraduate Seminar (A)
",SP21,56,"
23
","
100.0%
","
100.0%
","
0.85
","
A (4.00)
","
N/A
"
"Moore, Bradley S.","
SIO 90 - Undergraduate Seminar (A)
",WI21,88,"
41
","
100.0%
","
100.0%
","
0.60
","
A- (3.86)
","
N/A
"
"Bowman, Jeff Shovlowsky","
SIO 90 - Undergraduate Seminar (A)
",FA20,79,"
38
","
100.0%
","
100.0%
","
1.36
","
A (4.00)
","
N/A
"
"Forsch, Kiefer Otto","
SIO 90 - Undergraduate Seminar (A)
",SP20,43,"
12
","
91.7%
","
100.0%
","
1.67
","
A (4.00)
","
N/A
"
"Kolody, Bethany Cristine","
SIO 90 - Undergraduate Seminar (A)
",WI20,62,"
32
","
90.6%
","
100.0%
","
0.63
","
A (4.00)
","
N/A
"
"Kwan, Garfield Tsz Fung","
SIO 90 - Undergraduate Seminar (A)
",FA19,52,"
26
","
100.0%
","
100.0%
","
0.73
","
A- (3.75)
","
N/A
"
"Fine, Elizabeth Coombs","
SIO 90 - Undergraduate Seminar (A)
",SP19,61,"
30
","
100.0%
","
100.0%
","
0.64
","
A (4.00)
","
N/A
"
"Diner, Rachel Ellen","
SIO 90 - Undergraduate Seminar (A)
",WI19,64,"
45
","
100.0%
","
100.0%
","
0.55
","
A (4.00)
","
N/A
"
"Courtney, Travis Alexander","
SIO 90 - Undergraduate Seminar (A)
",FA18,40,"
25
","
100.0%
","
100.0%
","
1.02
","
A- (3.75)
","
N/A
"
"Seltzer, Alan Myland","
SIO 90 - Undergraduate Seminar (A)
",SP18,51,"
21
","
100.0%
","
100.0%
","
0.80
","
A (4.00)
","
N/A
"
"Guazzo, Regina Anne","
SIO 90 - Undergraduate Seminar (A)
",WI18,43,"
30
","
96.6%
","
100.0%
","
0.50
","
B+ (3.67)
","
N/A
"
"Harada, Alice Elizabeth","
SIO 90 - Undergraduate Seminar (A)
",FA17,59,"
26
","
100.0%
","
100.0%
","
0.83
","
B+ (3.57)
","
N/A
"
"Teranes, Jane","
SIO 90 - Undergraduate Seminar (A)
",SP17,43,"
17
","
100.0%
","
100.0%
","
0.63
","
A (4.00)
","
N/A
"
"Deheyn, Dimitri Dominique","
SIO 90 - Undergraduate Seminar (A)
",FA16,69,"
37
","
97.1%
","
97.1%
","
1.62
","
A (4.00)
","
N/A
"
"Teranes, Jane","
SIO 90 - Undergraduate Seminar (A)
",SP16,33,"
15
","
100.0%
","
85.7%
","
0.50
","
A (4.00)
","
N/A
"
"Deheyn, Dimitri Dominique","
SIO 90 - Undergraduate Seminar (A)
",FA15,51,"
29
","
100.0%
","
100.0%
","
1.40
","
A (4.00)
","
N/A
"
"Teranes, Jane","
SIO 90 - Undergraduate Seminar (A)
",SP15,39,"
19
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
"Deheyn, Dimitri Dominique","
SIO 90 - Undergraduate Seminar (A)
",FA14,62,"
29
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
"Teranes, Jane","
SIO 90 - Undergraduate Seminar (A)
",SP14,41,"
20
","
94.7%
","
89.5%
","
0.74
","
A (4.00)
","
N/A
"
"Deheyn, Dimitri Dominique","
SIO 90 - Undergraduate Seminar (A)
",FA13,62,"
35
","
100.0%
","
100.0%
","
0.96
","
A (4.00)
","
N/A
"
"Teranes, Jane","
SIO 90 - Undergraduate Seminar (A)
",SP13,37,"
13
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
"Teranes, Jane","
SIO 90 - Undergraduate Seminar (A)
",FA12,50,"
28
","
100.0%
","
96.2%
","
0.50
","
A (4.00)
","
N/A
"
"Teranes, Jane                      ","
SIO 90 - Undergraduate Seminar          (A)
",SP10,26,"
11
","
90.9%
","
100.0%
","
0.70
","
A (4.00)
","
N/A
"
"Teranes, Jane                      ","
SIO 90 - Undergraduate Seminar          (A)
",SP09,47,"
38
","
100.0%
","
100.0%
","
0.50
","
B+ (3.50)
","
N/A
"
"Teranes, Jane                 ","
SIO 90 - Undergraduate Seminar          (A)
",SP08,26,"
19
","
100.0%
","
94.4%
","
0.50
","
A (4.00)
","
N/A
"
