Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Rogers, Julia Ellen","
SOCI 104Q - Qualitative Interviewing (A)
",SP23,28,"
9
","
100.0%
","
100.0%
","
5.64
","
B+ (3.57)
","
A- (3.76)
"
"Sagnic, Sevin Gulfer","
SOCI 104Q - Qualitative Interviewing (A)
",WI23,25,"
24
","
87.5%
","
87.0%
","
5.33
","
B+ (3.38)
","
B+ (3.60)
"
"Rogers, Julia Ellen","
SOCI 104Q - Qualitative Interviewing (A)
",FA22,19,"
3
","
100.0%
","
100.0%
","
3.83
","
B+ (3.33)
","
N/A
"
"Rogers, Julia Ellen","
SOCI 104Q - Qualitative Interviewing (A)
",SP22,19,"
6
","
66.7%
","
83.3%
","
5.50
","
B+ (3.67)
","
N/A
"
"Raudenbush, Danielle","
SOCI 104Q - Qualitative Interviewing (A)
",WI22,30,"
8
","
100.0%
","
100.0%
","
2.75
","
A- (3.88)
","
A- (3.86)
"
"Rogers, Julia Ellen","
SOCI 104Q - Qualitative Interviewing (A)
",SP21,25,"
8
","
87.5%
","
37.5%
","
4.75
","
A- (3.88)
","
A- (3.73)
"
"Thorpe, Charles Robert","
SOCI 104Q - Qualitative Interviewing (A)
",WI21,18,"
7
","
42.9%
","
57.1%
","
3.07
","
A- (3.86)
","
N/A
"
"Rogers, Julia Ellen","
SOCI 104Q - Qualitative Interviewing (A)
",SP20,27,"
4
","
100.0%
","
100.0%
","
5.50
","
A- (3.75)
","
B+ (3.59)
"
"Rogers, Julia Ellen","
SOCI 104Q - Qualitative Interviewing (A)
",WI20,21,"
5
","
100.0%
","
100.0%
","
2.90
","
A (4.00)
","
A- (3.75)
"
"Schneider, Heidi L.","
SOCI 104Q - Qualitative Interviewing (A)
",WI18,26,"
8
","
100.0%
","
100.0%
","
5.64
","
B+ (3.57)
","
A- (3.78)
"
"Pinzur, David L","
SOCI 104Q - Qualitative Interviewing (A)
",WI17,24,"
21
","
95.2%
","
95.2%
","
5.45
","
A- (3.82)
","
B+ (3.68)
"
"Mullins, Ian Michael","
SOCI 104Q - Qualitative Interviewing (A)
",WI16,25,"
8
","
85.7%
","
100.0%
","
3.50
","
B+ (3.43)
","
B+ (3.35)
"
"McVey, Cristin M","
SOCI 104Q - Qualitative Interviewing (A)
",FA15,27,"
8
","
100.0%
","
87.5%
","
6.25
","
A (4.00)
","
A- (3.93)
"
"Klatch, Rebecca","
SOCI 104Q - Qualitative Interviewing (A)
",FA14,18,"
4
","
75.0%
","
75.0%
","
9.00
","
B (3.00)
","
N/A
"
"Vinson, Alexandra H","
SOCI 104Q - Qualitative Interviewing (A)
",WI14,24,"
8
","
87.5%
","
100.0%
","
7.36
","
A- (3.86)
","
B (3.18)
"
"Klatch, Rebecca","
SOCI 104Q - Qualitative Interviewing (A)
",FA12,17,"
7
","
80.0%
","
80.0%
","
8.00
","
A (4.00)
","
N/A
"
