Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Gong, Neil M","
SOCI 136F - Soc/Mental Illness/Contemp Soc (A)
",WI23,52,"
37
","
100.0%
","
100.0%
","
4.28
","
B+ (3.50)
","
B+ (3.33)
"
"Rogers, Julia Ellen","
SOCI 136F - Soc/Mental Illness/Contemp Soc (A)
",FA22,66,"
45
","
91.1%
","
77.8%
","
4.50
","
B+ (3.49)
","
B (3.29)
"
"Gong, Neil M","
SOCI 136F - Soc/Mental Illness/Contemp Soc (A)
",WI22,55,"
25
","
100.0%
","
100.0%
","
5.80
","
B+ (3.41)
","
B (3.27)
"
"Rogers, Julia Ellen","
SOCI 136F - Soc/Mental Illness/Contemp Soc (A)
",FA21,73,"
28
","
66.7%
","
70.4%
","
3.76
","
B+ (3.36)
","
B (3.05)
"
"Rogers, Julia Ellen","
SOCI 136F - Soc/Mental Illness/Contemp Soc (B)
",FA21,28,"
14
","
58.3%
","
41.7%
","
4.93
","
B+ (3.54)
","
B (3.12)
"
"Rogers, Julia Ellen","
SOCI 136F - Soc/Mental Illness/Contemp Soc (A)
",WI21,83,"
29
","
88.9%
","
85.2%
","
3.69
","
B+ (3.56)
","
B+ (3.51)
"
"Payne, Christine Anna","
SOCI 136F - Soc/Mental Illness/Contemp Soc (A)
",SP20,77,"
30
","
96.6%
","
96.6%
","
4.57
","
A- (3.83)
","
A- (3.89)
"
"Rogers, Julia Ellen","
SOCI 136F - Soc/Mental Illness/Contemp Soc (A)
",WI19,68,"
26
","
100.0%
","
100.0%
","
4.58
","
B+ (3.52)
","
B (3.15)
"
"Scull, Andrew","
SOCI 136F - Soc/Mental Illness/Contemp Soc (A)
",FA16,53,"
20
","
75.0%
","
65.0%
","
4.70
","
B- (2.89)
","
B (3.08)
"
"Scull, Andrew","
SOCI 136F - Soc/Mental Illness/Contemp Soc (A)
",WI15,99,"
46
","
81.8%
","
75.0%
","
5.36
","
B (3.07)
","
C+ (2.66)
"
"Scull, Andrew                      ","
SOCI 136F - Soc/Mental Illness/Contemp Soc (A)
",FA08,90,"
52
","
90.4%
","
92.3%
","
4.58
","
B+ (3.43)
","
B- (3.00)
"
