Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Ng, Kwai","
SOCI 160E - Law and Culture (A)
",S121,23,"
4
","
100.0%
","
100.0%
","
4.00
","
B+ (3.50)
","
B (3.13)
"
"Ng, Kwai","
SOCI 160E - Law and Culture (A)
",S120,51,"
14
","
85.7%
","
92.9%
","
6.64
","
B+ (3.43)
","
B (3.27)
"
"Ng, Kwai","
SOCI 160E - Law and Culture (A)
",S119,35,"
6
","
100.0%
","
100.0%
","
7.00
","
B+ (3.40)
","
B (3.05)
"
"Ng, Kwai","
SOCI 160E - Law and Culture (A)
",S118,24,"
7
","
100.0%
","
100.0%
","
3.07
","
B (3.14)
","
B+ (3.40)
"
"Ng, Kwai","
SOCI 160E - Law and Culture (A)
",FA17,39,"
11
","
100.0%
","
100.0%
","
3.23
","
A- (3.82)
","
B+ (3.55)
"
"Lee, Jack Jin Gary","
SOCI 160E - Law and Culture (A)
",FA15,31,"
17
","
75.0%
","
87.5%
","
6.37
","
B+ (3.31)
","
B+ (3.34)
"
"Tirshfield, Jeffrey T","
SOCI 160E - Law and Culture (A)
",FA14,16,"
7
","
85.7%
","
85.7%
","
6.79
","
B (3.14)
","
N/A
"
"Ng, Kwai","
SOCI 160E - Law and Culture (A)
",S114,23,"
4
","
100.0%
","
100.0%
","
5.17
","
B+ (3.50)
","
B+ (3.30)
"
"Ng, Kwai","
SOCI 160E - Law and Culture (A)
",WI14,50,"
13
","
100.0%
","
100.0%
","
4.35
","
A- (3.85)
","
B+ (3.61)
"
"Ng, Kwai","
SOCI 160E - Law and Culture (A)
",S113,20,"
5
","
100.0%
","
100.0%
","
8.90
","
A- (3.80)
","
B+ (3.58)
"
"Ng, Kwai","
SOCI 160E - Law and Culture (A)
",WI13,57,"
22
","
100.0%
","
100.0%
","
6.23
","
A- (3.75)
","
A- (3.77)
"
"Ng, Kwai","
SOCI 160E - Law and Culture                (A)
",WI09,47,"
27
","
88.5%
","
88.5%
","
4.57
","
B+ (3.44)
","
B (3.27)
"
"Van Rite, Eric Robert         ","
SOCI 160E - Law and Culture                (A)
",FA07,47,"
26
","
96.0%
","
100.0%
","
5.58
","
B+ (3.46)
","
B- (2.92)
"
