Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Birberick, Brittany Celest","
SOCI 187 - African Societies Through Film (A)
",SP23,35,"
8
","
83.3%
","
100.0%
","
7.17
","
B+ (3.67)
","
B (3.04)
"
"Birberick, Brittany Celest","
SOCI 187 - African Societies Through Film (A)
",SP22,36,"
11
","
100.0%
","
100.0%
","
5.95
","
B+ (3.45)
","
B+ (3.50)
"
"Zimmerman-Liu, Teresa Jean","
SOCI 187 - African Societies Through Film (A)
",SP21,63,"
39
","
100.0%
","
100.0%
","
4.66
","
A- (3.86)
","
B+ (3.66)
"
"Zimmerman-Liu, Teresa Jean","
SOCI 187 - African Societies Through Film (A)
",SP20,63,"
38
","
100.0%
","
100.0%
","
4.92
","
A- (3.97)
","
A- (3.92)
"
"Zimmerman-Liu, Teresa Jean","
SOCI 187 - African Societies Through Film (A)
",SP19,43,"
13
","
100.0%
","
100.0%
","
4.83
","
A (4.00)
","
A- (3.82)
"
"McVey, Cristin M","
SOCI 187 - African Societies Through Film (A)
",SP18,32,"
9
","
100.0%
","
100.0%
","
5.61
","
A- (3.78)
","
B+ (3.56)
"
"McVey, Cristin M","
SOCI 187 - African Societies Through Film (A)
",SP17,27,"
7
","
100.0%
","
85.7%
","
4.83
","
B+ (3.57)
","
B+ (3.35)
"
"McVey, Cristin M","
SOCI 187 - African Societies Through Film (A)
",SP16,21,"
3
","
100.0%
","
100.0%
","
4.50
","
B+ (3.67)
","
A- (3.89)
"
"McVey, Cristin M","
SOCI 187 - African Societies Through Film (A)
",SP15,45,"
16
","
100.0%
","
100.0%
","
4.63
","
B+ (3.63)
","
B+ (3.58)
"
"McVey, Cristin M","
SOCI 187 - African Societies Through Film (A)
",SP14,28,"
10
","
88.9%
","
88.9%
","
6.50
","
B+ (3.67)
","
B+ (3.55)
"
"McVey, Cristin M","
SOCI 187 - African Societies Through Film (A)
",SP13,61,"
13
","
92.3%
","
84.6%
","
4.17
","
B (3.23)
","
B+ (3.41)
"
"McVey, Cristin M                   ","
SOCI 187 - African Societies Through Film (A)
",SP10,94,"
40
","
92.1%
","
92.1%
","
4.08
","
B+ (3.57)
","
B+ (3.49)
"
"McVey, Cristin M                   ","
SOCI 187 - African Societies Through Film (A)
",SP09,100,"
71
","
91.2%
","
95.7%
","
2.98
","
B+ (3.55)
","
B+ (3.40)
"
