Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Kokinis, Troy Andreas","
SOCI 188D - Latin Amer: Society & Politics (A)
",SP23,24,"
3
","
66.7%
","
66.7%
","
3.83
","
B+ (3.33)
","
A- (3.74)
"
"Ribeiro Fernandes Da Silva, Germano","
SOCI 188D - Latin Amer: Society & Politics (A)
",S122,12,"
6
","
100.0%
","
100.0%
","
5.30
","
B+ (3.60)
","
N/A
"
"Ribeiro Fernandes Da Silva, Germano","
SOCI 188D - Latin Amer: Society & Politics (A)
",WI21,51,"
13
","
91.7%
","
91.7%
","
3.83
","
B+ (3.58)
","
A- (3.72)
"
"Zamosc, Leon","
SOCI 188D - Latin Amer: Society & Politics (A)
",WI20,49,"
15
","
86.7%
","
53.3%
","
3.57
","
B+ (3.64)
","
B (3.02)
"
"Zamosc, Leon","
SOCI 188D - Latin Amer: Society & Politics (A)
",WI19,54,"
20
","
72.2%
","
72.2%
","
3.28
","
B (3.12)
","
B- (2.94)
"
"Zamosc, Leon","
SOCI 188D - Latin Amer: Society & Politics (A)
",WI18,46,"
10
","
90.0%
","
70.0%
","
3.50
","
B+ (3.40)
","
B+ (3.37)
"
"Zamosc, Leon","
SOCI 188D - Latin Amer: Society & Politics (A)
",WI17,45,"
16
","
92.3%
","
92.3%
","
3.73
","
B (3.27)
","
B (3.25)
"
"Zamosc, Leon","
SOCI 188D - Latin Amer: Society & Politics (A)
",S216,10,"
7
","
71.4%
","
71.4%
","
5.93
","
B+ (3.57)
","
N/A
"
"Zamosc, Leon","
SOCI 188D - Latin Amer: Society & Politics (A)
",SP15,48,"
15
","
80.0%
","
93.3%
","
4.21
","
B+ (3.57)
","
B (3.20)
"
"Zamosc, Leon","
SOCI 188D - Latin Amer: Society & Politics (A)
",WI14,50,"
16
","
93.8%
","
87.5%
","
5.75
","
B+ (3.47)
","
B (3.19)
"
"Zamosc, Leon","
SOCI 188D - Latin Amer: Society & Politics (A)
",S213,12,"
5
","
100.0%
","
80.0%
","
4.90
","
A- (3.80)
","
N/A
"
"Zamosc, Leon                  ","
SOCI 188D - Latin Amer: Society & Politics (A)
",SU07,27,"
25
","
87.0%
","
79.2%
","
6.25
","
B (3.13)
","
N/A
"
