Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Blair-Loy, Mary","
SOCI 87 - Freshman Seminar (A)
",FA22,11,"
4
","
100.0%
","
100.0%
","
1.50
","
N/A
","
N/A
"
"Evans, Ivan T","
SOCI 87 - Freshman Seminar (A)
",FA21,18,"
10
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
"Lewis, Kevin Michael","
SOCI 87 - Freshman Seminar (B)
",FA19,18,"
11
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
"Evans, Ivan T","
SOCI 87 - Freshman Seminar (A)
",FA18,14,"
8
","
100.0%
","
100.0%
","
1.07
","
N/A
","
N/A
"
"Lewis, Kevin Michael","
SOCI 87 - Freshman Seminar (B)
",FA18,16,"
12
","
100.0%
","
100.0%
","
0.50
","
N/A
","
N/A
"
"Evans, Ivan T","
SOCI 87 - Freshman Seminar (A)
",WI18,10,"
10
","
100.0%
","
100.0%
","
1.70
","
B+ (3.50)
","
N/A
"
"Evans, Ivan T","
SOCI 87 - Freshman Seminar (A)
",FA17,16,"
11
","
90.0%
","
100.0%
","
1.59
","
A- (3.75)
","
N/A
"
"Evans, Ivan T","
SOCI 87 - Freshman Seminar (B)
",SP17,14,"
9
","
100.0%
","
100.0%
","
1.83
","
A (4.00)
","
N/A
"
"Evans, Ivan T","
SOCI 87 - Freshman Seminar (A)
",FA16,19,"
12
","
100.0%
","
100.0%
","
1.83
","
A (4.00)
","
N/A
"
"Binder, Amy","
SOCI 87 - Freshman Seminar (B)
",FA16,17,"
12
","
90.9%
","
90.9%
","
1.05
","
B+ (3.50)
","
N/A
"
"Evans, Ivan T","
SOCI 87 - Freshman Seminar (A)
",SP16,14,"
5
","
100.0%
","
100.0%
","
1.50
","
B (3.00)
","
N/A
"
"Binder, Amy","
SOCI 87 - Freshman Seminar (B)
",WI16,14,"
9
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
"Evans, Ivan T","
SOCI 87 - Freshman Seminar (C)
",WI16,14,"
11
","
90.0%
","
100.0%
","
1.90
","
A (4.00)
","
N/A
"
"Blair-Loy, Mary","
SOCI 87 - Freshman Seminar (A)
",FA15,16,"
8
","
100.0%
","
100.0%
","
1.93
","
A (4.00)
","
N/A
"
"Evans, Ivan T","
SOCI 87 - Freshman Seminar (B)
",FA15,17,"
9
","
100.0%
","
100.0%
","
2.06
","
A (4.00)
","
N/A
"
"Evans, Ivan T","
SOCI 87 - Freshman Seminar (A)
",SP15,11,"
5
","
100.0%
","
100.0%
","
1.70
","
B (3.00)
","
N/A
"
"Evans, Ivan T","
SOCI 87 - Freshman Seminar (A)
",WI15,17,"
6
","
100.0%
","
100.0%
","
0.90
","
N/A
","
N/A
"
"Binder, Amy","
SOCI 87 - Freshman Seminar (C)
",WI15,14,"
8
","
100.0%
","
100.0%
","
0.75
","
A (4.00)
","
N/A
"
"Evans, Ivan T","
SOCI 87 - Freshman Seminar (A)
",FA14,17,"
12
","
100.0%
","
100.0%
","
1.17
","
A (4.00)
","
N/A
"
"Blair-Loy, Mary","
SOCI 87 - Freshman Seminar (B)
",FA14,20,"
10
","
90.0%
","
70.0%
","
2.50
","
A (4.00)
","
N/A
"
"Evans, Ivan T","
SOCI 87 - Freshman Seminar (A)
",WI14,10,"
6
","
100.0%
","
100.0%
","
1.17
","
N/A
","
N/A
"
"Rona-Tas, Akos","
SOCI 87 - Freshman Seminar (B)
",WI14,10,"
6
","
100.0%
","
100.0%
","
0.83
","
N/A
","
N/A
"
"Evans, Ivan T","
SOCI 87 - Freshman Seminar (A)
",FA13,17,"
10
","
100.0%
","
100.0%
","
0.70
","
A (4.00)
","
N/A
"
"Evans, Ivan T","
SOCI 87 - Freshman Seminar (B)
",FA13,12,"
9
","
62.5%
","
87.5%
","
1.50
","
A (4.00)
","
N/A
"
"Binder, Amy","
SOCI 87 - Freshman Seminar (A)
",SP13,9,"
6
","
83.3%
","
83.3%
","
1.50
","
A (4.00)
","
N/A
"
"Blair-Loy, Mary","
SOCI 87 - Freshman Seminar (B)
",SP13,6,"
4
","
100.0%
","
75.0%
","
1.00
","
N/A
","
N/A
"
"Klatch, Rebecca","
SOCI 87 - Freshman Seminar (B)
",WI13,6,"
5
","
100.0%
","
100.0%
","
3.50
","
A (4.00)
","
N/A
"
"Blair-Loy, Mary","
SOCI 87 - Freshman Seminar (C)
",WI13,11,"
5
","
80.0%
","
80.0%
","
1.30
","
N/A
","
N/A
"
"Linton, April                      ","
SOCI 87 - Freshman Seminar               (A)
",FA10,11,"
6
","
100.0%
","
100.0%
","
1.50
","
N/A
","
N/A
"
"Blair-Loy, Mary                    ","
SOCI 87 - Freshman Seminar               (C)
",FA10,14,"
10
","
100.0%
","
100.0%
","
1.30
","
A (4.00)
","
N/A
"
"Binder, Amy                        ","
SOCI 87 - Freshman Seminar               (A)
",SP10,11,"
7
","
100.0%
","
100.0%
","
1.36
","
N/A
","
N/A
"
"Evans, Ivan T                      ","
SOCI 87 - Freshman Seminar               (D)
",SP10,7,"
7
","
100.0%
","
100.0%
","
0.79
","
N/A
","
N/A
"
"Waisman, Carlos H.                 ","
SOCI 87 - Freshman Seminar               (E)
",SP10,12,"
4
","
66.7%
","
66.7%
","
0.50
","
N/A
","
N/A
"
"Linton, April                      ","
SOCI 87 - Freshman Seminar               (F)
",SP10,8,"
4
","
100.0%
","
100.0%
","
6.00
","
A (4.00)
","
N/A
"
