Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Atkinson, Arthur Laird","
SYN 1 - Perspectives/Changing Planet (0)
",SP23,60,"
29
","
85.7%
","
96.3%
","
3.43
","
A- (3.93)
","
A- (3.79)
"
"Brink, Claudi","
SYN 1 - Perspectives/Changing Planet (0)
",SP23,60,"
24
","
100.0%
","
95.7%
","
4.08
","
A- (3.92)
","
A- (3.85)
"
"Browne, Emily","
SYN 1 - Perspectives/Changing Planet (0)
",SP23,60,"
56
","
92.9%
","
100.0%
","
3.57
","
A- (3.89)
","
A- (3.82)
"
"Deavenport, James Cary","
SYN 1 - Perspectives/Changing Planet (0)
",SP23,61,"
28
","
96.2%
","
96.2%
","
3.58
","
A- (3.96)
","
A- (4.00)
"
"Gladstein, Jill M","
SYN 1 - Perspectives/Changing Planet (0)
",SP23,29,"
17
","
100.0%
","
100.0%
","
3.25
","
A (4.00)
","
A- (3.98)
"
"Iatarola, Briana Marie","
SYN 1 - Perspectives/Changing Planet (0)
",SP23,60,"
37
","
80.0%
","
100.0%
","
3.06
","
A- (3.97)
","
A- (4.00)
"
"Leclerc, Maria Teresa","
SYN 1 - Perspectives/Changing Planet (0)
",SP23,39,"
18
","
83.3%
","
100.0%
","
3.39
","
A- (3.94)
","
A- (3.94)
"
"Murdock, Shawn Christian","
SYN 1 - Perspectives/Changing Planet (0)
",SP23,59,"
19
","
89.5%
","
94.7%
","
3.13
","
A- (3.89)
","
A- (3.79)
"
"Tawater, Hanna Jean","
SYN 1 - Perspectives/Changing Planet (0)
",SP23,59,"
51
","
92.2%
","
98.0%
","
3.95
","
A- (3.92)
","
A- (3.94)
"
"Vega, Adrian","
SYN 1 - Perspectives/Changing Planet (0)
",SP23,59,"
27
","
73.1%
","
84.6%
","
3.35
","
A- (3.85)
","
A- (3.85)
"
"Atkinson, Arthur Laird","
SYN 1 - Perspectives/Changing Planet (0)
",WI23,40,"
19
","
94.4%
","
100.0%
","
3.50
","
A (4.00)
","
A- (3.74)
"
"Brink, Claudi","
SYN 1 - Perspectives/Changing Planet (0)
",WI23,20,"
6
","
50.0%
","
100.0%
","
2.50
","
A (4.00)
","
A- (3.91)
"
"Browne, Emily","
SYN 1 - Perspectives/Changing Planet (0)
",WI23,20,"
9
","
88.9%
","
88.9%
","
4.28
","
A- (3.89)
","
A- (3.87)
"
"Deavenport, James Cary","
SYN 1 - Perspectives/Changing Planet (0)
",WI23,22,"
8
","
87.5%
","
100.0%
","
4.50
","
A- (3.88)
","
A- (3.76)
"
"Gladstein, Jill M","
SYN 1 - Perspectives/Changing Planet (0)
",WI23,60,"
37
","
94.4%
","
100.0%
","
4.06
","
A- (3.97)
","
A- (3.84)
"
"Iatarola, Briana Marie","
SYN 1 - Perspectives/Changing Planet (0)
",WI23,20,"
10
","
100.0%
","
100.0%
","
3.90
","
A (4.00)
","
A- (3.96)
"
"Murdock, Shawn Christian","
SYN 1 - Perspectives/Changing Planet (0)
",WI23,40,"
19
","
83.3%
","
94.4%
","
2.94
","
A- (3.94)
","
A- (3.94)
"
"Rosenberg, Ryan Glenn","
SYN 1 - Perspectives/Changing Planet (0)
",WI23,40,"
30
","
100.0%
","
100.0%
","
3.26
","
A- (3.72)
","
A- (3.84)
"
"Tawater, Hanna Jean","
SYN 1 - Perspectives/Changing Planet (0)
",WI23,59,"
48
","
95.7%
","
100.0%
","
3.46
","
A- (3.91)
","
A- (3.90)
"
"Vega, Adrian","
SYN 1 - Perspectives/Changing Planet (0)
",WI23,19,"
6
","
83.3%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Gladstein, Jill M","
SYN 1 - Perspectives/Changing Planet (0)
",SP22,496,"
201
","
90.9%
","
92.3%
","
4.16
","
A- (3.95)
","
A- (3.85)
"
"Gladstein, Jill M","
SYN 1 - Perspectives/Changing Planet (0)
",WI22,404,"
243
","
90.9%
","
93.4%
","
3.95
","
A- (3.94)
","
A- (3.90)
"
"Gladstein, Jill M","
SYN 1 - Perspectives/Changing Planet (0)
",SP21,235,"
107
","
90.6%
","
95.3%
","
5.15
","
A- (3.85)
","
A- (3.88)
"
"Gladstein, Jill M","
SYN 1 - Perspectives/Changing Planet (0)
",WI21,318,"
181
","
89.1%
","
91.3%
","
4.06
","
A- (3.91)
","
A- (3.88)
"
