Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Buescher, Stephen W.","
TDAC 108 - Advanced Topics (B)
",SP23,19,"
14
","
100.0%
","
100.0%
","
1.07
","
A (4.00)
","
N/A
"
"Flesher, Rachel Lee","
TDAC 108 - Advanced Topics (A)
",WI23,19,"
7
","
100.0%
","
100.0%
","
3.07
","
A (4.00)
","
N/A
"
"Huynh, Michelle Vy","
TDAC 108 - Advanced Topics (A)
",FA22,23,"
5
","
100.0%
","
100.0%
","
3.70
","
A- (3.80)
","
N/A
"
"Castro, Robert Jess","
TDAC 108 - Advanced Topics (B)
",FA20,11,"
4
","
100.0%
","
100.0%
","
6.50
","
B+ (3.50)
","
N/A
"
"Rubinstein, Kim","
TDAC 108 - Advanced Topics (B)
",SP20,24,"
5
","
80.0%
","
100.0%
","
2.90
","
A (4.00)
","
A- (3.89)
"
"Castro, Robert Jess","
TDAC 108 - Advanced Topics (A)
",FA19,18,"
3
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Robichaux, Natalie Griffith","
TDAC 108 - Advanced Topics (A)
",SP19,12,"
3
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Barnes, Eva E","
TDAC 108 - Advanced Topics (A)
",WI19,24,"
7
","
100.0%
","
100.0%
","
5.07
","
A (4.00)
","
A- (3.91)
"
"Barricelli, Marc Alexander","
TDAC 108 - Advanced Topics (A)
",FA18,15,"
3
","
100.0%
","
100.0%
","
3.83
","
B+ (3.67)
","
N/A
"
"Harting, Carla Kelso","
TDAC 108 - Advanced Topics (A)
",WI18,16,"
5
","
66.7%
","
100.0%
","
5.17
","
A (4.00)
","
N/A
"
"Basso, Beatrice","
TDAC 108 - Advanced Topics (B)
",FA17,11,"
6
","
100.0%
","
100.0%
","
2.83
","
B+ (3.50)
","
N/A
"
"Castro, Robert Jess","
TDAC 108 - Advanced Topics (A)
",FA16,14,"
5
","
100.0%
","
100.0%
","
6.00
","
A (4.00)
","
N/A
"
"Barnes, Eva E","
TDAC 108 - Advanced Topics (A)
",SP16,19,"
10
","
100.0%
","
100.0%
","
5.90
","
A (4.00)
","
N/A
"
"Walsh, Kim C.","
TDAC 108 - Advanced Topics (A)
",WI16,11,"
8
","
100.0%
","
87.5%
","
3.75
","
A- (3.88)
","
N/A
"
"Wallace, Gregory D.","
TDAC 108 - Advanced Topics (A)
",FA15,12,"
9
","
100.0%
","
100.0%
","
7.17
","
A- (3.89)
","
N/A
"
"Ramey, Heather L","
TDAC 108 - Advanced Topics (A)
",SP15,13,"
5
","
100.0%
","
100.0%
","
0.90
","
A (4.00)
","
N/A
"
"Harting, Carla Kelso","
TDAC 108 - Advanced Topics (A)
",FA14,7,"
6
","
83.3%
","
83.3%
","
3.17
","
A (4.00)
","
N/A
"
"Ramey, Heather L","
TDAC 108 - Advanced Topics (B)
",FA14,21,"
16
","
100.0%
","
100.0%
","
6.25
","
A- (3.86)
","
A- (3.97)
"
"Donnelly, Kyle E.","
TDAC 108 - Advanced Topics (C)
",FA14,10,"
7
","
85.7%
","
85.7%
","
5.64
","
A (4.00)
","
N/A
"
"Tompa, Gabor","
TDAC 108 - Advanced Topics (A)
",SP14,11,"
4
","
100.0%
","
100.0%
","
3.00
","
A- (3.75)
","
N/A
"
"Castro, Robert Jess","
TDAC 108 - Advanced Topics (A)
",WI14,7,"
3
","
100.0%
","
100.0%
","
7.50
","
A (4.00)
","
N/A
"
"Rubinstein, Kim","
TDAC 108 - Advanced Topics (B)
",WI14,13,"
5
","
100.0%
","
100.0%
","
4.00
","
A (4.00)
","
N/A
"
"Barnes, Eva E","
TDAC 108 - Advanced Topics (B)
",FA13,18,"
16
","
100.0%
","
100.0%
","
5.00
","
A- (3.94)
","
N/A
"
"Wallace, Gregory D.","
TDAC 108 - Advanced Topics (C)
",FA13,12,"
12
","
100.0%
","
100.0%
","
7.00
","
B+ (3.58)
","
N/A
"
"Fulton, Julia","
TDAC 108 - Advanced Topics (B)
",S113,10,"
3
","
100.0%
","
100.0%
","
4.50
","
B+ (3.67)
","
N/A
"
"Donnelly, Kyle E.","
TDAC 108 - Advanced Topics (A)
",FA12,16,"
6
","
100.0%
","
100.0%
","
6.00
","
A (4.00)
","
N/A
"
"Castro, Robert Jess","
TDAC 108 - Advanced Topics (B)
",FA12,10,"
6
","
100.0%
","
100.0%
","
3.83
","
A (4.00)
","
N/A
"
"Fulton, Julia                      ","
TDAC 108 - Advanced Topics                (A)
",SU10,15,"
3
","
100.0%
","
100.0%
","
3.83
","
B+ (3.33)
","
N/A
"
"Fulton, Julia                      ","
TDAC 108 - Advanced Topics                (A)
",SU09,12,"
5
","
100.0%
","
100.0%
","
2.50
","
A- (3.80)
","
N/A
"
"Barnes, Eva E                 ","
TDAC 108 - Advanced Topics                (A)
",SP08,18,"
17
","
100.0%
","
100.0%
","
3.32
","
A (4.00)
","
N/A
"
