Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Guirguis, Mark C","
TDDE 1 - Intro/Design for the Theatre (A)
",WI23,77,"
34
","
90.6%
","
90.6%
","
3.92
","
A- (3.83)
","
B+ (3.40)
"
"Benzoni, Elisa","
TDDE 1 - Intro/Design for the Theatre (A)
",FA22,87,"
27
","
63.0%
","
81.5%
","
4.72
","
B+ (3.69)
","
B (3.22)
"
"Guirguis, Mark C","
TDDE 1 - Intro/Design for the Theatre (A)
",WI22,80,"
33
","
87.5%
","
93.8%
","
3.06
","
A- (3.83)
","
B+ (3.54)
"
"Guirguis, Mark C","
TDDE 1 - Intro/Design for the Theatre (A)
",FA21,101,"
47
","
80.4%
","
89.1%
","
4.28
","
B+ (3.69)
","
B+ (3.33)
"
"Guirguis, Mark C","
TDDE 1 - Intro/Design for the Theatre (A)
",WI21,79,"
36
","
91.4%
","
100.0%
","
3.64
","
A- (3.84)
","
A- (3.85)
"
"Guirguis, Mark C","
TDDE 1 - Intro/Design for the Theatre (A)
",FA20,93,"
48
","
93.5%
","
97.8%
","
3.35
","
A- (3.86)
","
B+ (3.62)
"
"Guirguis, Mark C","
TDDE 1 - Intro/Design for the Theatre (A)
",S220,15,"
3
","
66.7%
","
33.3%
","
3.83
","
B+ (3.50)
","
N/A
"
"Guirguis, Mark C","
TDDE 1 - Intro/Design for the Theatre (A)
",WI20,61,"
26
","
87.5%
","
95.8%
","
6.42
","
B+ (3.54)
","
B+ (3.42)
"
"Guirguis, Mark C","
TDDE 1 - Intro/Design for the Theatre (A)
",FA19,94,"
43
","
87.5%
","
97.5%
","
6.11
","
B+ (3.69)
","
B+ (3.47)
"
"Guirguis, Mark C","
TDDE 1 - Intro/Design for the Theatre (A)
",S219,18,"
9
","
88.9%
","
100.0%
","
7.17
","
B+ (3.33)
","
N/A
"
"Guirguis, Mark C","
TDDE 1 - Intro/Design for the Theatre (A)
",WI19,78,"
43
","
82.9%
","
97.4%
","
5.52
","
B+ (3.62)
","
B+ (3.44)
"
"Guirguis, Mark C","
TDDE 1 - Intro/Design for the Theatre (A)
",FA18,88,"
42
","
71.8%
","
100.0%
","
5.53
","
B+ (3.59)
","
B+ (3.53)
"
"Guirguis, Mark C","
TDDE 1 - Intro/Design for the Theatre (A)
",S218,14,"
5
","
100.0%
","
100.0%
","
2.50
","
A- (3.80)
","
N/A
"
"Guirguis, Mark C","
TDDE 1 - Intro/Design for the Theatre (A)
",WI18,72,"
26
","
92.0%
","
100.0%
","
5.78
","
B+ (3.67)
","
B+ (3.65)
"
"Guirguis, Mark C","
TDDE 1 - Intro/Design for the Theatre (A)
",FA17,103,"
54
","
75.5%
","
92.5%
","
6.42
","
A- (3.71)
","
B (3.30)
"
"Guirguis, Mark C","
TDDE 1 - Intro/Design for the Theatre (A)
",WI17,64,"
24
","
75.0%
","
95.8%
","
6.67
","
A (4.00)
","
B+ (3.52)
"
"Guirguis, Mark C","
TDDE 1 - Intro/Design for the Theatre (A)
",FA16,89,"
40
","
78.9%
","
89.5%
","
5.82
","
B+ (3.52)
","
B+ (3.51)
"
