Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Kuhl, Christopher August","
TDDE 121 - Theatre Process - Lighting (A)
",WI23,16,"
3
","
33.3%
","
33.3%
","
4.50
","
B+ (3.67)
","
N/A
"
"Kuhl, Christopher August","
TDDE 121 - Theatre Process - Lighting (A)
",WI22,12,"
4
","
100.0%
","
100.0%
","
6.50
","
A- (3.75)
","
N/A
"
"Kuhl, Christopher August","
TDDE 121 - Theatre Process - Lighting (B)
",SP21,11,"
7
","
100.0%
","
100.0%
","
7.36
","
A- (3.71)
","
N/A
"
"Rynne, Christopher Stephan","
TDDE 121 - Theatre Process - Lighting (A)
",WI20,17,"
5
","
100.0%
","
80.0%
","
5.30
","
A- (3.80)
","
N/A
"
"Burrett, Alan","
TDDE 121 - Theatre Process - Lighting (A)
",WI19,14,"
6
","
100.0%
","
100.0%
","
3.70
","
A (4.00)
","
N/A
"
"Burrett, Alan","
TDDE 121 - Theatre Process - Lighting (A)
",WI18,14,"
8
","
100.0%
","
100.0%
","
6.50
","
A- (3.75)
","
N/A
"
"Burrett, Alan","
TDDE 121 - Theatre Process - Lighting (A)
",WI17,13,"
7
","
100.0%
","
100.0%
","
6.17
","
A (4.00)
","
N/A
"
"Burrett, Alan","
TDDE 121 - Theatre Process - Lighting (A)
",WI16,14,"
7
","
100.0%
","
100.0%
","
3.93
","
A (4.00)
","
N/A
"
"Burrett, Alan","
TDDE 121 - Theatre Process - Lighting (A)
",WI15,16,"
8
","
100.0%
","
100.0%
","
5.93
","
A (4.00)
","
N/A
"
"Burrett, Alan","
TDDE 121 - Theatre Process - Lighting (A)
",WI14,18,"
12
","
100.0%
","
100.0%
","
8.14
","
A- (3.83)
","
N/A
"
"Kelly, Sherrice Marie","
TDDE 121 - Theatre Process - Lighting (A)
",WI13,19,"
8
","
62.5%
","
37.5%
","
8.25
","
B (3.25)
","
N/A
"
"Burrett, Alan","
TDDE 121 - Theatre Process - Lighting     (A)
",WI09,18,"
14
","
100.0%
","
100.0%
","
3.79
","
B+ (3.43)
","
N/A
"
"Deangelis, Christian Michael  ","
TDDE 121 - Theatre Process - Lighting     (A)
",WI08,20,"
19
","
100.0%
","
94.7%
","
3.55
","
B+ (3.58)
","
B+ (3.47)
"
