Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Powell, Lora","
TDDR 101 - Stage Management (A)
",SP23,42,"
18
","
94.1%
","
100.0%
","
2.26
","
A- (3.94)
","
B+ (3.58)
"
"Powell, Lora","
TDDR 101 - Stage Management (A)
",FA22,37,"
4
","
100.0%
","
100.0%
","
3.00
","
B+ (3.50)
","
A- (3.74)
"
"Powell, Lora","
TDDR 101 - Stage Management (A)
",SP22,27,"
14
","
100.0%
","
100.0%
","
2.67
","
A- (3.73)
","
B+ (3.63)
"
"Powell, Lora","
TDDR 101 - Stage Management (A)
",FA21,47,"
17
","
100.0%
","
100.0%
","
2.38
","
A- (3.93)
","
B+ (3.64)
"
"Powell, Lora","
TDDR 101 - Stage Management (A)
",SP21,43,"
17
","
100.0%
","
100.0%
","
4.13
","
A- (3.94)
","
A- (3.86)
"
"Powell, Lora","
TDDR 101 - Stage Management (A)
",WI21,40,"
30
","
93.3%
","
100.0%
","
4.50
","
A- (3.93)
","
A- (3.78)
"
"Powell, Lora","
TDDR 101 - Stage Management (A)
",FA20,48,"
29
","
100.0%
","
100.0%
","
4.16
","
A- (3.83)
","
B+ (3.65)
"
"Powell, Lora","
TDDR 101 - Stage Management (A)
",SP20,46,"
22
","
95.5%
","
100.0%
","
3.77
","
A- (3.91)
","
A- (3.89)
"
"Powell, Lora","
TDDR 101 - Stage Management (A)
",FA19,31,"
22
","
90.9%
","
100.0%
","
3.05
","
A- (3.82)
","
B+ (3.58)
"
"Powell, Lora","
TDDR 101 - Stage Management (A)
",SP19,38,"
19
","
100.0%
","
100.0%
","
3.34
","
A- (3.82)
","
A- (3.83)
"
"Porter, Lisa","
TDDR 101 - Stage Management (A)
",WI19,38,"
21
","
100.0%
","
100.0%
","
2.83
","
A- (3.83)
","
A- (3.83)
"
"Porter, Lisa","
TDDR 101 - Stage Management (A)
",FA18,30,"
16
","
86.7%
","
100.0%
","
3.88
","
B (3.29)
","
A- (3.86)
"
"Means, Charles E.","
TDDR 101 - Stage Management (A)
",SP18,30,"
15
","
100.0%
","
100.0%
","
3.93
","
A- (3.93)
","
A- (3.76)
"
"Means, Charles E.","
TDDR 101 - Stage Management (A)
",WI18,31,"
20
","
94.7%
","
94.1%
","
2.90
","
B+ (3.58)
","
B (3.25)
"
"Porter, Lisa","
TDDR 101 - Stage Management (A)
",FA17,25,"
22
","
90.9%
","
100.0%
","
4.23
","
A- (3.81)
","
A- (3.81)
"
"Means, Charles E.","
TDDR 101 - Stage Management (A)
",SP17,31,"
20
","
88.9%
","
88.9%
","
4.38
","
B+ (3.59)
","
B+ (3.43)
"
"Zingle, Laura Maria","
TDDR 101 - Stage Management (A)
",WI17,30,"
18
","
94.1%
","
100.0%
","
4.15
","
B+ (3.69)
","
B+ (3.44)
"
"Zingle, Laura Maria","
TDDR 101 - Stage Management (A)
",FA16,18,"
14
","
85.7%
","
92.9%
","
3.93
","
A- (3.93)
","
N/A
"
"Means, Charles E.","
TDDR 101 - Stage Management (A)
",SP16,30,"
16
","
86.7%
","
93.3%
","
3.57
","
B+ (3.67)
","
B+ (3.59)
"
"Porter, Lisa","
TDDR 101 - Stage Management (A)
",WI16,25,"
22
","
95.5%
","
100.0%
","
2.68
","
A- (3.77)
","
A- (3.76)
"
"Porter, Lisa","
TDDR 101 - Stage Management (A)
",FA15,31,"
12
","
100.0%
","
100.0%
","
2.70
","
A (4.00)
","
A- (3.81)
"
"Means, Charles E.","
TDDR 101 - Stage Management (A)
",SP15,24,"
19
","
100.0%
","
94.4%
","
3.32
","
A- (3.94)
","
A- (3.84)
"
"Means, Charles E.","
TDDR 101 - Stage Management (A)
",WI15,18,"
14
","
100.0%
","
100.0%
","
2.65
","
A- (3.85)
","
N/A
"
"Kennedy, Zachary Wayne","
TDDR 101 - Stage Management (A)
",FA14,26,"
22
","
100.0%
","
100.0%
","
3.55
","
A- (3.75)
","
B+ (3.32)
"
"Porter, Lisa","
TDDR 101 - Stage Management (A)
",FA14,27,"
21
","
100.0%
","
94.7%
","
3.55
","
A- (3.74)
","
B+ (3.32)
"
"Means, Charles E.","
TDDR 101 - Stage Management (A)
",SP14,24,"
12
","
100.0%
","
100.0%
","
4.14
","
A (4.00)
","
B+ (3.51)
"
"Means, Charles E.","
TDDR 101 - Stage Management (A)
",WI14,24,"
15
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
A- (3.74)
"
"Means, Charles E.","
TDDR 101 - Stage Management (A)
",FA13,18,"
6
","
83.3%
","
83.3%
","
4.50
","
A- (3.83)
","
N/A
"
"Porter, Lisa","
TDDR 101 - Stage Management (A)
",SP13,21,"
8
","
75.0%
","
100.0%
","
4.50
","
A- (3.86)
","
A- (3.81)
"
"Porter, Lisa","
TDDR 101 - Stage Management (A)
",WI13,25,"
13
","
91.7%
","
100.0%
","
4.33
","
A- (3.82)
","
A- (3.92)
"
"Porter, Lisa","
TDDR 101 - Stage Management (A)
",FA12,18,"
7
","
85.7%
","
100.0%
","
7.36
","
A- (3.83)
","
N/A
"
"DePaul, Dana                       ","
TDDR 101 - Stage Management               (A)
",FA10,22,"
14
","
92.3%
","
100.0%
","
4.81
","
A- (3.75)
","
B+ (3.62)
"
"DePaul, Dana                       ","
TDDR 101 - Stage Management               (B)
",SP10,22,"
9
","
100.0%
","
87.5%
","
3.75
","
A- (3.88)
","
B+ (3.60)
"
"Porter, Lisa                  ","
TDDR 101 - Stage Management               (B)
",SP10,22,"
9
","
100.0%
","
75.0%
","
3.75
","
A- (3.88)
","
B+ (3.60)
"
"Porter, Lisa                       ","
TDDR 101 - Stage Management               (A)
",WI10,22,"
7
","
85.7%
","
85.7%
","
3.93
","
A (4.00)
","
B+ (3.40)
"
"DePaul, Dana                       ","
TDDR 101 - Stage Management               (A)
",FA09,18,"
14
","
92.9%
","
100.0%
","
3.21
","
B+ (3.54)
","
N/A
"
"Porter, Lisa                       ","
TDDR 101 - Stage Management               (A)
",SP09,23,"
19
","
94.7%
","
100.0%
","
3.03
","
A (4.00)
","
A- (3.74)
"
"Porter, Lisa","
TDDR 101 - Stage Management               (A)
",WI09,24,"
22
","
90.9%
","
95.2%
","
4.02
","
A- (3.95)
","
B+ (3.52)
"
"Porter, Lisa                       ","
TDDR 101 - Stage Management               (A)
",FA08,23,"
20
","
95.0%
","
100.0%
","
3.40
","
A- (3.79)
","
B+ (3.60)
"
"Porter, Lisa                  ","
TDDR 101 - Stage Management               (A)
",SP08,15,"
11
","
81.8%
","
100.0%
","
6.14
","
B+ (3.56)
","
N/A
"
"Porter, Lisa                  ","
TDDR 101 - Stage Management               (B)
",WI08,19,"
19
","
77.8%
","
100.0%
","
4.71
","
B+ (3.68)
","
N/A
"
"Porter, Lisa                  ","
TDDR 101 - Stage Management               (A)
",FA07,22,"
20
","
63.2%
","
78.9%
","
5.45
","
B+ (3.58)
","
B+ (3.67)
"
