Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Castro, Robert Jess","
TDDR 111 - Directing - Acting Process (B)
",SP23,15,"
4
","
100.0%
","
100.0%
","
9.17
","
A (4.00)
","
N/A
"
"Stalling, Vanessa","
TDDR 111 - Directing - Acting Process (A)
",FA22,28,"
3
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
A- (3.84)
"
"Castro, Robert Jess","
TDDR 111 - Directing - Acting Process (B)
",SP22,15,"
4
","
100.0%
","
100.0%
","
5.83
","
A (4.00)
","
N/A
"
"Castro, Robert Jess","
TDDR 111 - Directing - Acting Process (A)
",FA21,19,"
9
","
55.6%
","
66.7%
","
3.17
","
A (4.00)
","
N/A
"
"Castro, Robert Jess","
TDDR 111 - Directing - Acting Process (C)
",SP21,12,"
7
","
100.0%
","
100.0%
","
5.17
","
B+ (3.50)
","
N/A
"
"Castro, Robert Jess","
TDDR 111 - Directing - Acting Process (A)
",SP20,22,"
5
","
100.0%
","
100.0%
","
4.90
","
A (4.00)
","
A (4.00)
"
"Carmody, James","
TDDR 111 - Directing - Acting Process (A)
",WI19,16,"
3
","
100.0%
","
66.7%
","
3.17
","
B (3.00)
","
N/A
"
"Castro, Robert Jess","
TDDR 111 - Directing - Acting Process (A)
",FA18,15,"
6
","
100.0%
","
100.0%
","
8.50
","
B+ (3.67)
","
N/A
"
"Stalling, Vanessa","
TDDR 111 - Directing - Acting Process (A)
",SP18,19,"
17
","
94.1%
","
100.0%
","
4.74
","
A- (3.82)
","
N/A
"
"Castro, Robert Jess","
TDDR 111 - Directing - Acting Process (A)
",WI18,18,"
7
","
83.3%
","
100.0%
","
4.17
","
A (4.00)
","
N/A
"
"Carmody, James","
TDDR 111 - Directing - Acting Process (A)
",FA17,19,"
8
","
87.5%
","
87.5%
","
3.50
","
A- (3.88)
","
N/A
"
"Carmody, James","
TDDR 111 - Directing - Acting Process (A)
",FA16,23,"
4
","
100.0%
","
100.0%
","
3.17
","
A (4.00)
","
A (4.00)
"
"Castro, Robert Jess","
TDDR 111 - Directing - Acting Process (A)
",SP15,14,"
3
","
100.0%
","
100.0%
","
5.50
","
A (4.00)
","
N/A
"
"Brody, Joshua Kahan","
TDDR 111 - Directing - Acting Process (A)
",WI15,11,"
9
","
100.0%
","
100.0%
","
6.79
","
B+ (3.43)
","
N/A
"
"Castro, Robert Jess","
TDDR 111 - Directing - Acting Process (B)
",WI14,12,"
7
","
71.4%
","
85.7%
","
4.50
","
A- (3.86)
","
N/A
"
"Carmody, James","
TDDR 111 - Directing - Acting Process (A)
",FA13,14,"
9
","
88.9%
","
88.9%
","
5.17
","
B+ (3.67)
","
N/A
"
"Castro, Robert Jess","
TDDR 111 - Directing - Acting Process (A)
",SP13,15,"
5
","
60.0%
","
80.0%
","
5.70
","
A (4.00)
","
N/A
"
"Castro, Robert Jess","
TDDR 111 - Directing - Acting Process (A)
",WI13,14,"
6
","
83.3%
","
50.0%
","
4.17
","
A (4.00)
","
N/A
"
"Castro, Robert Jess                ","
TDDR 111 - Directing - Acting Process     (A)
",SU10,8,"
4
","
75.0%
","
75.0%
","
4.00
","
A (4.00)
","
N/A
"
"Tompa, Gabor                       ","
TDDR 111 - Directing - Acting Process     (A)
",SP10,19,"
6
","
83.3%
","
50.0%
","
1.50
","
A- (3.83)
","
N/A
"
