Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Rubinstein, Kim","
TDGE 87 - First-year Seminar (A)
",SP23,9,"
3
","
33.3%
","
66.7%
","
1.17
","
A (4.00)
","
N/A
"
"Rubinstein, Kim","
TDGE 87 - First-year Seminar (A)
",WI23,11,"
3
","
100.0%
","
100.0%
","
1.83
","
A (4.00)
","
N/A
"
"Guirguis, Mark C","
TDGE 87 - First-year Seminar (A)
",SP22,19,"
12
","
100.0%
","
100.0%
","
0.68
","
N/A
","
N/A
"
"Adler, Steven","
TDGE 87 - Freshman Seminar (A)
",SP21,12,"
6
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Guirguis, Mark C","
TDGE 87 - Freshman Seminar (B)
",SP21,19,"
7
","
100.0%
","
100.0%
","
0.79
","
A (4.00)
","
N/A
"
"Adler, Steven","
TDGE 87 - Freshman Seminar (A)
",WI21,13,"
11
","
100.0%
","
100.0%
","
1.23
","
A (4.00)
","
N/A
"
"Meyer, Ursula","
TDGE 87 - Freshman Seminar (A)
",FA20,12,"
9
","
100.0%
","
100.0%
","
0.72
","
A (4.00)
","
N/A
"
"Guirguis, Mark C","
TDGE 87 - Freshman Seminar (A)
",SP20,9,"
4
","
100.0%
","
100.0%
","
2.00
","
A (4.00)
","
N/A
"
"Meyer, Ursula","
TDGE 87 - Freshman Seminar (B)
",WI20,12,"
3
","
100.0%
","
100.0%
","
3.83
","
A (4.00)
","
N/A
"
"Adler, Steven","
TDGE 87 - Freshman Seminar (B)
",FA19,17,"
12
","
81.8%
","
90.9%
","
0.50
","
B (3.00)
","
N/A
"
"Guirguis, Mark C","
TDGE 87 - Freshman Seminar (B)
",SP19,9,"
6
","
100.0%
","
100.0%
","
1.83
","
A (4.00)
","
N/A
"
"Meyer, Ursula","
TDGE 87 - Freshman Seminar (B)
",FA18,10,"
6
","
83.3%
","
100.0%
","
0.83
","
N/A
","
N/A
"
"Rincon, Patricia A.","
TDGE 87 - Freshman Seminar (C)
",FA18,15,"
6
","
100.0%
","
100.0%
","
0.83
","
A (4.00)
","
N/A
"
"Rincon, Patricia A.","
TDGE 87 - Freshman Seminar (A)
",SP18,13,"
7
","
100.0%
","
100.0%
","
0.83
","
A (4.00)
","
N/A
"
"Oates, Charles Bruce","
TDGE 87 - Freshman Seminar (B)
",SP18,11,"
3
","
100.0%
","
100.0%
","
1.17
","
A (4.00)
","
N/A
"
"Guirguis, Mark C","
TDGE 87 - Freshman Seminar (A)
",WI18,11,"
5
","
100.0%
","
100.0%
","
1.30
","
N/A
","
N/A
"
"Rincon, Patricia A.","
TDGE 87 - Freshman Seminar (B)
",WI18,14,"
11
","
100.0%
","
100.0%
","
0.68
","
A (4.00)
","
N/A
"
"Barnes, Eva E","
TDGE 87 - Freshman Seminar (A)
",FA17,16,"
11
","
100.0%
","
100.0%
","
1.05
","
A (4.00)
","
N/A
"
"Meyer, Ursula","
TDGE 87 - Freshman Seminar (B)
",SP17,10,"
7
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
"Guirguis, Mark C","
TDGE 87 - Freshman Seminar (A)
",WI17,14,"
8
","
100.0%
","
100.0%
","
1.70
","
A (4.00)
","
N/A
"
"Rincon, Patricia A.","
TDGE 87 - Freshman Seminar (B)
",WI17,15,"
7
","
85.7%
","
85.7%
","
0.50
","
A (4.00)
","
N/A
"
"Guirguis, Mark C","
TDGE 87 - Freshman Seminar (A)
",SP16,13,"
7
","
100.0%
","
100.0%
","
0.79
","
N/A
","
N/A
"
"Oates, Charles Bruce","
TDGE 87 - Freshman Seminar (B)
",SP16,10,"
4
","
100.0%
","
100.0%
","
0.50
","
N/A
","
N/A
"
"Guirguis, Mark C","
TDGE 87 - Freshman Seminar (A)
",WI16,13,"
7
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
"Rincon, Patricia A.","
TDGE 87 - Freshman Seminar (A)
",FA15,19,"
11
","
100.0%
","
100.0%
","
1.10
","
A (4.00)
","
N/A
"
"Rincon, Patricia A.","
TDGE 87 - Freshman Seminar (A)
",SP15,17,"
12
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
"Rouse, John Samuel","
TDGE 87 - Freshman Seminar (A)
",WI15,7,"
7
","
85.7%
","
100.0%
","
1.36
","
A (4.00)
","
N/A
"
"Rincon, Patricia A.","
TDGE 87 - Freshman Seminar (B)
",WI15,10,"
7
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
"Guirguis, Mark C","
TDGE 87 - Freshman Seminar (C)
",WI15,14,"
6
","
100.0%
","
100.0%
","
0.90
","
A (4.00)
","
N/A
"
"Rincon, Patricia A.","
TDGE 87 - Freshman Seminar (A)
",FA14,19,"
13
","
92.3%
","
100.0%
","
1.00
","
A (4.00)
","
N/A
"
"Rouse, John Samuel","
TDGE 87 - Freshman Seminar (B)
",FA14,10,"
7
","
85.7%
","
85.7%
","
0.50
","
N/A
","
N/A
"
"Rincon, Patricia A.","
TDGE 87 - Freshman Seminar (B)
",SP14,11,"
7
","
100.0%
","
85.7%
","
0.50
","
B (3.00)
","
N/A
"
"Rouse, John Samuel","
TDGE 87 - Freshman Seminar (A)
",WI14,13,"
4
","
100.0%
","
100.0%
","
0.50
","
N/A
","
N/A
"
"Rincon, Patricia A.","
TDGE 87 - Freshman Seminar (A)
",FA13,18,"
8
","
100.0%
","
100.0%
","
0.50
","
N/A
","
N/A
"
"Rouse, John Samuel","
TDGE 87 - Freshman Seminar (B)
",FA13,17,"
10
","
60.0%
","
80.0%
","
0.90
","
N/A
","
N/A
"
