Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Salimi, Rana","
TDHT 101 - Topics: Lit & Theatre History (A)
",WI23,27,"
8
","
42.9%
","
42.9%
","
3.75
","
B+ (3.63)
","
B+ (3.62)
"
"Burelle, Julie Sara Veronique","
TDHT 101 - Topics: Lit & Theatre History (A)
",FA22,30,"
11
","
100.0%
","
100.0%
","
5.41
","
B+ (3.50)
","
B (3.22)
"
"Urban, Alison Diana","
TDHT 101 - Topics: Lit & Theatre History (A)
",SP22,24,"
9
","
100.0%
","
100.0%
","
3.39
","
A- (3.78)
","
B+ (3.56)
"
"Power, Jade Yukana","
TDHT 101 - Topics: Lit & Theatre History (B)
",SP22,33,"
13
","
92.3%
","
92.3%
","
4.50
","
B+ (3.62)
","
A- (3.76)
"
"Smarr, Janet L.","
TDHT 101 - Topics: Lit & Theatre History (A)
",FA21,23,"
4
","
100.0%
","
100.0%
","
6.00
","
B (3.25)
","
B (3.10)
"
"Reimer, Jonathan Charles","
TDHT 101 - Topics: Lit & Theatre History (B)
",FA21,22,"
12
","
90.9%
","
81.8%
","
5.17
","
A- (3.82)
","
A- (3.72)
"
"Jones, William Jadie","
TDHT 101 - Topics: Lit & Theatre History (A)
",S221,13,"
4
","
66.7%
","
100.0%
","
5.50
","
C+ (2.67)
","
N/A
"
"Smarr, Janet L.","
TDHT 101 - Topics: Lit & Theatre History (A)
",FA20,24,"
8
","
75.0%
","
62.5%
","
3.75
","
B+ (3.57)
","
B+ (3.51)
"
"Tregar, Kristen Lauren","
TDHT 101 - Topics: Lit & Theatre History (A)
",S120,19,"
5
","
75.0%
","
75.0%
","
8.00
","
B (3.25)
","
N/A
"
"Short, Vincent James","
TDHT 101 - Topics: Lit & Theatre History (A)
",WI20,23,"
16
","
86.7%
","
100.0%
","
4.50
","
B+ (3.60)
","
B+ (3.45)
"
