Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Alvarez, Ana Maria","
TDMV 141 - Adv Dances of the World (A)
",SP23,15,"
6
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Caligagan, Tony","
TDMV 141 - Adv Dances of the World (A)
",SP20,17,"
5
","
100.0%
","
100.0%
","
3.70
","
A (4.00)
","
N/A
"
"Caligagan, Tony","
TDMV 141 - Adv Dances of the World (A)
",SP19,25,"
8
","
100.0%
","
100.0%
","
4.75
","
A (4.00)
","
A- (3.89)
"
"Caligagan, Tony","
TDMV 141 - Adv Dances of the World (A)
",SP15,12,"
6
","
83.3%
","
100.0%
","
5.17
","
A (4.00)
","
N/A
"
"Caligagan, Tony","
TDMV 141 - Adv Dances of the World (A)
",SP14,19,"
8
","
85.7%
","
85.7%
","
3.17
","
B+ (3.67)
","
N/A
"
"Devaguptapu, Divya","
TDMV 141 - Adv Dances of the World (B)
",SP14,25,"
6
","
100.0%
","
100.0%
","
0.90
","
A (4.00)
","
A- (3.89)
"
"Caligagan, Tony","
TDMV 141 - Adv Dances of the World (A)
",SP13,28,"
11
","
100.0%
","
88.9%
","
2.72
","
A (4.00)
","
A- (3.83)
"
"Caligagan, Tony                    ","
TDMV 141 - Adv Dances of the World        (A)
",SP10,24,"
10
","
100.0%
","
90.0%
","
5.90
","
A- (3.86)
","
A- (3.98)
"
"Caligagan, Tony                    ","
TDMV 141 - Adv Dances of the World        (A)
",SP09,27,"
16
","
93.8%
","
93.8%
","
5.00
","
A- (3.93)
","
A- (3.99)
"
"Caligagan, Tony               ","
TDMV 141 - Adv Dances of the World        (A)
",SP08,30,"
24
","
100.0%
","
100.0%
","
6.08
","
A- (3.80)
","
A- (3.78)
"
