Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Snaith, Yolande","
TDPF 163 - Dance Repertory (A)
",SP23,32,"
4
","
100.0%
","
100.0%
","
5.50
","
A (4.00)
","
A (4.00)
"
"Snaith, Yolande","
TDPF 163 - Dance Repertory (A)
",WI22,11,"
3
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
"Clancy, Liam","
TDPF 163 - Dance Repertory (A)
",WI20,7,"
3
","
100.0%
","
100.0%
","
3.17
","
A (4.00)
","
N/A
"
"Geiger, Eric","
TDPF 163 - Dance Repertory (A)
",WI19,13,"
4
","
100.0%
","
100.0%
","
2.00
","
A (4.00)
","
N/A
"
"Smith, Alison D","
TDPF 163 - Dance Repertory (A)
",WI18,4,"
3
","
100.0%
","
100.0%
","
1.17
","
A (4.00)
","
N/A
"
"Snaith, Yolande","
TDPF 163 - Dance Repertory (B)
",WI18,9,"
3
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
"Clancy, Liam","
TDPF 163 - Dance Repertory (A)
",FA14,5,"
3
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Rincon, Patricia A.","
TDPF 163 - Dance Repertory (A)
",WI14,23,"
8
","
87.5%
","
87.5%
","
5.64
","
A (4.00)
","
A (4.00)
"
"Geiger, Eric","
TDPF 163 - Dance Repertory (A)
",FA13,7,"
4
","
100.0%
","
100.0%
","
3.50
","
A (4.00)
","
N/A
"
"Smith, Alison D","
TDPF 163 - Dance Repertory (B)
",FA13,6,"
4
","
100.0%
","
100.0%
","
1.83
","
A (4.00)
","
N/A
"
"Snaith, Yolande","
TDPF 163 - Dance Repertory (F)
",WI13,5,"
4
","
100.0%
","
75.0%
","
0.50
","
A (4.00)
","
N/A
"
"Valerdi, Natalia","
TDPF 163 - Dance Repertory (B)
",FA12,4,"
3
","
100.0%
","
100.0%
","
3.83
","
B+ (3.67)
","
N/A
"
"Smith, Alison D                    ","
TDPF 163 - Dance Repertory                (A)
",FA10,5,"
3
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
"Geiger, Eric                       ","
TDPF 163 - Dance Repertory                (B)
",FA10,7,"
3
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Wilson, Terry A.                   ","
TDPF 163 - Dance Repertory                (A)
",SP10,19,"
9
","
100.0%
","
100.0%
","
5.17
","
A (4.00)
","
N/A
"
"Clancy, Liam                       ","
TDPF 163 - Dance Repertory                (A)
",WI10,10,"
3
","
100.0%
","
100.0%
","
1.83
","
A (4.00)
","
N/A
"
"Green, Allyson                     ","
TDPF 163 - Dance Repertory                (D)
",WI10,19,"
4
","
100.0%
","
100.0%
","
2.00
","
A (4.00)
","
N/A
"
"Rincon, Patricia A.                ","
TDPF 163 - Dance Repertory                (E)
",WI10,11,"
3
","
100.0%
","
100.0%
","
1.83
","
A (4.00)
","
N/A
"
"Geiger, Eric                  ","
TDPF 163 - Dance Repertory                (C)
",WI08,15,"
14
","
100.0%
","
100.0%
","
1.64
","
A (4.00)
","
N/A
"
