Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Guirguis, Mark C","
TDPR 6 - Theatre Practicum (A)
",SP23,63,"
19
","
82.4%
","
82.4%
","
2.74
","
A- (3.94)
","
A- (3.97)
"
"Guirguis, Mark C","
TDPR 6 - Theatre Practicum (A)
",WI23,38,"
13
","
84.6%
","
84.6%
","
9.42
","
A- (3.92)
","
A- (3.78)
"
"Benzoni, Elisa","
TDPR 6 - Theatre Practicum (A)
",FA22,36,"
9
","
75.0%
","
87.5%
","
4.00
","
A (4.00)
","
A- (3.98)
"
"Guirguis, Mark C","
TDPR 6 - Theatre Practicum (A)
",SP22,53,"
13
","
80.0%
","
90.0%
","
6.68
","
A- (3.91)
","
A- (3.89)
"
"Guirguis, Mark C","
TDPR 6 - Theatre Practicum (A)
",WI22,46,"
13
","
90.9%
","
100.0%
","
5.41
","
A- (3.91)
","
A- (3.93)
"
"Guirguis, Mark C","
TDPR 6 - Theatre Practicum (A)
",FA21,29,"
11
","
90.9%
","
100.0%
","
5.05
","
A (4.00)
","
A- (3.92)
"
"Guirguis, Mark C","
TDPR 6 - Theatre Practicum (A)
",SP21,48,"
15
","
100.0%
","
100.0%
","
4.50
","
A- (3.83)
","
B+ (3.67)
"
"Guirguis, Mark C","
TDPR 6 - Theatre Practicum (A)
",WI21,48,"
18
","
100.0%
","
93.8%
","
3.75
","
A- (3.81)
","
A- (3.74)
"
"Guirguis, Mark C","
TDPR 6 - Theatre Practicum (A)
",FA20,31,"
12
","
81.8%
","
90.9%
","
2.83
","
A (4.00)
","
B+ (3.50)
"
"Guirguis, Mark C","
TDPR 6 - Theatre Practicum (A)
",SP20,30,"
8
","
100.0%
","
100.0%
","
3.64
","
A- (3.86)
","
A- (3.90)
"
"Guirguis, Mark C","
TDPR 6 - Theatre Practicum (A)
",WI20,45,"
13
","
100.0%
","
100.0%
","
5.67
","
A- (3.92)
","
A- (3.81)
"
"Guirguis, Mark C","
TDPR 6 - Theatre Practicum (A)
",FA19,30,"
12
","
91.7%
","
100.0%
","
6.00
","
A (4.00)
","
A- (3.86)
"
