Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Stein, Deborah Isobel","
TDPW 101 - Intermediate Playwriting (A)
",WI23,15,"
6
","
100.0%
","
100.0%
","
3.83
","
A (4.00)
","
N/A
"
"Stein, Deborah Isobel","
TDPW 101 - Intermediate Playwriting (B)
",WI23,14,"
6
","
100.0%
","
83.3%
","
4.50
","
B+ (3.67)
","
N/A
"
"Stein, Deborah Isobel","
TDPW 101 - Intermediate Playwriting (D)
",WI23,12,"
4
","
100.0%
","
100.0%
","
3.50
","
A- (3.75)
","
N/A
"
"Stein, Deborah Isobel","
TDPW 101 - Intermediate Playwriting (E)
",WI23,12,"
5
","
100.0%
","
100.0%
","
3.70
","
A (4.00)
","
N/A
"
"Stein, Deborah Isobel","
TDPW 101 - Intermediate Playwriting (F)
",WI23,10,"
3
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Stein, Deborah Isobel","
TDPW 101 - Intermediate Playwriting (G)
",WI23,15,"
9
","
100.0%
","
83.3%
","
2.50
","
A (4.00)
","
N/A
"
"Nelson-Greenberg, Mara","
TDPW 101 - Intermediate Playwriting (A)
",S222,13,"
3
","
100.0%
","
100.0%
","
3.83
","
B+ (3.33)
","
N/A
"
"Stein, Deborah Isobel","
TDPW 101 - Intermediate Playwriting (A)
",WI22,15,"
4
","
100.0%
","
100.0%
","
4.00
","
A (4.00)
","
N/A
"
"Stein, Deborah Isobel","
TDPW 101 - Intermediate Playwriting (B)
",WI22,16,"
5
","
100.0%
","
100.0%
","
4.90
","
A- (3.80)
","
N/A
"
"Stein, Deborah Isobel","
TDPW 101 - Intermediate Playwriting (D)
",WI22,15,"
6
","
100.0%
","
100.0%
","
6.50
","
A- (3.83)
","
N/A
"
"Freni, Edith Loraine","
TDPW 101 - Intermediate Playwriting (A)
",WI21,14,"
9
","
100.0%
","
85.7%
","
4.50
","
A- (3.86)
","
N/A
"
"Freni, Edith Loraine","
TDPW 101 - Intermediate Playwriting (C)
",WI21,15,"
3
","
100.0%
","
100.0%
","
3.17
","
A (4.00)
","
N/A
"
"Freni, Edith Loraine","
TDPW 101 - Intermediate Playwriting (A)
",WI20,15,"
3
","
66.7%
","
100.0%
","
6.50
","
A (4.00)
","
N/A
"
"Freni, Edith Loraine","
TDPW 101 - Intermediate Playwriting (B)
",WI20,12,"
3
","
100.0%
","
100.0%
","
5.17
","
C+ (2.67)
","
N/A
"
"Freni, Edith Loraine","
TDPW 101 - Intermediate Playwriting (C)
",WI20,14,"
6
","
83.3%
","
100.0%
","
4.17
","
A- (3.83)
","
N/A
"
"Freni, Edith Loraine","
TDPW 101 - Intermediate Playwriting (D)
",WI20,14,"
4
","
100.0%
","
100.0%
","
4.00
","
B+ (3.50)
","
N/A
"
"Havis, Allan","
TDPW 101 - Intermediate Playwriting (A)
",WI19,14,"
10
","
87.5%
","
100.0%
","
4.25
","
A- (3.75)
","
N/A
"
"Havis, Allan","
TDPW 101 - Intermediate Playwriting (B)
",WI19,15,"
3
","
100.0%
","
100.0%
","
3.50
","
B+ (3.50)
","
N/A
"
"Havis, Allan","
TDPW 101 - Intermediate Playwriting (C)
",WI19,13,"
3
","
100.0%
","
100.0%
","
8.50
","
A (4.00)
","
N/A
"
"Havis, Allan","
TDPW 101 - Intermediate Playwriting (D)
",WI19,14,"
3
","
100.0%
","
100.0%
","
8.50
","
A (4.00)
","
N/A
"
"Havis, Allan","
TDPW 101 - Playwriting Workshop I (A)
",WI18,14,"
7
","
100.0%
","
100.0%
","
5.83
","
A- (3.83)
","
N/A
"
"Havis, Allan","
TDPW 101 - Playwriting Workshop I (C)
",WI18,13,"
4
","
100.0%
","
100.0%
","
4.50
","
A- (3.75)
","
N/A
"
"Havis, Allan","
TDPW 101 - Playwriting Workshop I (D)
",WI18,14,"
5
","
100.0%
","
100.0%
","
5.17
","
A (4.00)
","
N/A
"
"Havis, Allan","
TDPW 101 - Playwriting Workshop I (A)
",WI17,14,"
7
","
100.0%
","
100.0%
","
4.90
","
A (4.00)
","
N/A
"
"Havis, Allan","
TDPW 101 - Playwriting Workshop I (B)
",WI17,13,"
6
","
100.0%
","
100.0%
","
6.90
","
A (4.00)
","
N/A
"
"Havis, Allan","
TDPW 101 - Playwriting Workshop I (C)
",WI17,15,"
4
","
100.0%
","
100.0%
","
3.00
","
A (4.00)
","
N/A
"
"Iizuka, Naomi Hisako","
TDPW 101 - Playwriting Workshop I (A)
",WI16,10,"
5
","
100.0%
","
100.0%
","
4.00
","
A (4.00)
","
N/A
"
"Iizuka, Naomi Hisako","
TDPW 101 - Playwriting Workshop I (B)
",WI16,12,"
5
","
100.0%
","
100.0%
","
6.10
","
A (4.00)
","
N/A
"
"Iizuka, Naomi Hisako","
TDPW 101 - Playwriting Workshop I (D)
",WI16,15,"
7
","
100.0%
","
100.0%
","
3.64
","
A (4.00)
","
N/A
"
"Iizuka, Naomi Hisako","
TDPW 101 - Playwriting Workshop I (E)
",WI16,10,"
7
","
100.0%
","
100.0%
","
5.93
","
A (4.00)
","
N/A
"
"Iizuka, Naomi Hisako","
TDPW 101 - Playwriting Workshop I (A)
",WI15,13,"
9
","
100.0%
","
100.0%
","
4.21
","
B+ (3.43)
","
N/A
"
"Iizuka, Naomi Hisako","
TDPW 101 - Playwriting Workshop I (B)
",WI15,10,"
5
","
100.0%
","
75.0%
","
6.00
","
A (4.00)
","
N/A
"
"Iizuka, Naomi Hisako","
TDPW 101 - Playwriting Workshop I (C)
",WI15,12,"
7
","
100.0%
","
85.7%
","
3.36
","
B+ (3.67)
","
N/A
"
"Iizuka, Naomi Hisako","
TDPW 101 - Playwriting Workshop I (D)
",WI15,12,"
4
","
100.0%
","
100.0%
","
9.17
","
B+ (3.67)
","
N/A
"
"Iizuka, Naomi Hisako","
TDPW 101 - Playwriting Workshop I (E)
",WI15,13,"
9
","
100.0%
","
100.0%
","
5.50
","
A (4.00)
","
N/A
"
"Iizuka, Naomi Hisako","
TDPW 101 - Playwriting Workshop I (A)
",WI14,5,"
3
","
100.0%
","
100.0%
","
4.50
","
B+ (3.50)
","
N/A
"
"Iizuka, Naomi Hisako","
TDPW 101 - Playwriting Workshop I (B)
",WI14,5,"
3
","
100.0%
","
66.7%
","
5.83
","
B+ (3.67)
","
N/A
"
"Iizuka, Naomi Hisako","
TDPW 101 - Playwriting Workshop I (C)
",WI14,8,"
7
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Iizuka, Naomi Hisako","
TDPW 101 - Playwriting Workshop I (F)
",WI14,14,"
7
","
100.0%
","
100.0%
","
7.83
","
A (4.00)
","
N/A
"
"Iizuka, Naomi Hisako","
TDPW 101 - Playwriting Workshop I (G)
",WI14,12,"
5
","
100.0%
","
80.0%
","
4.90
","
A- (3.75)
","
N/A
"
"Newsham, Jennifer Barclay","
TDPW 101 - Playwriting Workshop I (A)
",WI13,12,"
4
","
100.0%
","
100.0%
","
3.83
","
A (4.00)
","
N/A
"
"Newsham, Jennifer Barclay","
TDPW 101 - Playwriting Workshop I (B)
",WI13,14,"
7
","
100.0%
","
100.0%
","
5.36
","
A- (3.86)
","
N/A
"
"Newsham, Jennifer Barclay","
TDPW 101 - Playwriting Workshop I (C)
",WI13,14,"
9
","
87.5%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Newsham, Jennifer Barclay","
TDPW 101 - Playwriting Workshop I (E)
",WI13,10,"
5
","
100.0%
","
100.0%
","
4.00
","
A (4.00)
","
N/A
"
"Shank, Adele Edling                ","
TDPW 101 - Playwriting Workshop I         (A)
",WI10,13,"
7
","
100.0%
","
100.0%
","
6.83
","
B+ (3.43)
","
N/A
"
"Shank, Adele Edling                ","
TDPW 101 - Playwriting Workshop I         (B)
",WI10,14,"
3
","
100.0%
","
100.0%
","
3.83
","
B+ (3.67)
","
N/A
"
