Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Wilson, Terry A.","
TDTR 10 - Introduction to Dance (A)
",SP23,50,"
21
","
95.2%
","
100.0%
","
2.79
","
A- (3.80)
","
A- (3.81)
"
"Wilson, Terry A.","
TDTR 10 - Introduction to Dance (A)
",FA22,45,"
15
","
84.6%
","
92.3%
","
2.81
","
A- (3.92)
","
A- (3.88)
"
"Wilson, Terry A.","
TDTR 10 - Introduction to Dance (A)
",SP22,47,"
20
","
95.0%
","
95.0%
","
3.40
","
A- (3.94)
","
A- (3.84)
"
"Wilson, Terry A.","
TDTR 10 - Introduction to Dance (A)
",WI22,49,"
17
","
87.5%
","
93.8%
","
3.32
","
A- (3.88)
","
A- (3.89)
"
"Wilson, Terry A.","
TDTR 10 - Introduction to Dance (A)
",FA21,49,"
20
","
94.7%
","
94.4%
","
3.39
","
A (4.00)
","
B+ (3.69)
"
"Wilson, Terry A.","
TDTR 10 - Introduction to Dance (A)
",SP21,30,"
11
","
72.7%
","
81.8%
","
4.14
","
A (4.00)
","
A- (3.81)
"
"Wilson, Terry A.","
TDTR 10 - Introduction to Dance (A)
",WI21,31,"
19
","
94.7%
","
84.2%
","
2.82
","
A- (3.89)
","
A- (3.99)
"
"Wilson, Terry A.","
TDTR 10 - Introduction to Dance (A)
",FA20,44,"
13
","
100.0%
","
100.0%
","
3.58
","
A (4.00)
","
A- (3.74)
"
"Wilson, Terry A.","
TDTR 10 - Introduction to Dance (A)
",SP20,34,"
16
","
100.0%
","
93.3%
","
3.43
","
A- (3.87)
","
A- (3.84)
"
"Wilson, Terry A.","
TDTR 10 - Introduction to Dance (A)
",WI20,45,"
16
","
100.0%
","
93.8%
","
2.50
","
A- (3.75)
","
A- (3.98)
"
"Wilson, Terry A.","
TDTR 10 - Introduction to Dance (A)
",FA19,49,"
22
","
94.7%
","
94.7%
","
2.18
","
B+ (3.58)
","
A- (3.76)
"
"Wilson, Terry A.","
TDTR 10 - Introduction to Dance (A)
",WI19,47,"
21
","
100.0%
","
100.0%
","
2.60
","
A- (3.90)
","
A- (3.87)
"
"Wilson, Terry A.","
TDTR 10 - Introduction to Dance (A)
",FA18,26,"
13
","
100.0%
","
100.0%
","
3.12
","
A- (3.73)
","
B+ (3.62)
"
"Wilson, Terry A.","
TDTR 10 - Introduction to Dance (A)
",SP18,50,"
20
","
94.7%
","
100.0%
","
3.03
","
A- (3.83)
","
A- (3.83)
"
