Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Solomon, Amanda Lee Albaniel","
TMC 87 - Freshman Seminar (A)
",SP23,12,"
5
","
100.0%
","
100.0%
","
0.90
","
A (4.00)
","
N/A
"
"Solomon, Amanda Lee Albaniel","
TMC 87 - Freshman Seminar (A)
",SP22,20,"
12
","
100.0%
","
100.0%
","
1.05
","
A (4.00)
","
N/A
"
"Lo, Stanley M.","
TMC 87 - Freshman Seminar (A)
",WI22,15,"
14
","
100.0%
","
100.0%
","
1.07
","
A (4.00)
","
N/A
"
"Solomon, Amanda Lee Albaniel","
TMC 87 - Freshman Seminar (A)
",SP21,10,"
7
","
100.0%
","
100.0%
","
1.36
","
A (4.00)
","
N/A
"
"Solomon, Amanda Lee Albaniel","
TMC 87 - Freshman Seminar (A)
",SP19,12,"
4
","
100.0%
","
100.0%
","
1.17
","
N/A
","
N/A
"
"Dobkins, Karen R.","
TMC 87 - Freshman Seminar (B)
",SP19,20,"
8
","
100.0%
","
87.5%
","
1.25
","
A (4.00)
","
N/A
"
"Dobkins, Karen R.","
TMC 87 - Freshman Seminar (A)
",FA18,19,"
12
","
100.0%
","
100.0%
","
1.59
","
A (4.00)
","
N/A
"
"Solomon, Amanda Lee Albaniel","
TMC 87 - Freshman Seminar (A)
",SP18,16,"
12
","
100.0%
","
100.0%
","
1.59
","
A (4.00)
","
N/A
"
"Dobkins, Karen R.","
TMC 87 - Freshman Seminar (B)
",SP18,17,"
8
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
"Dobkins, Karen R.","
TMC 87 - Freshman Seminar (B)
",FA17,9,"
5
","
80.0%
","
80.0%
","
0.50
","
A (4.00)
","
N/A
"
"Dobkins, Karen R.","
TMC 87 - Freshman Seminar (B)
",SP17,18,"
6
","
100.0%
","
100.0%
","
0.90
","
A (4.00)
","
N/A
"
"Dobkins, Karen R.","
TMC 87 - Freshman Seminar (A)
",FA16,19,"
10
","
100.0%
","
100.0%
","
1.00
","
A (4.00)
","
N/A
"
"Dobkins, Karen R.","
TMC 87 - Freshman Seminar (B)
",SP16,15,"
5
","
100.0%
","
100.0%
","
1.50
","
N/A
","
N/A
"
"Dobkins, Karen R.","
TMC 87 - Freshman Seminar (A)
",WI16,21,"
13
","
100.0%
","
100.0%
","
1.73
","
A (4.00)
","
N/A
"
"Dobkins, Karen R.","
TMC 87 - Freshman Seminar (A)
",FA15,19,"
10
","
100.0%
","
100.0%
","
2.90
","
A (4.00)
","
N/A
"
"Dobkins, Karen R.","
TMC 87 - Freshman Seminar (A)
",SP15,11,"
6
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Dobkins, Karen R.","
TMC 87 - Freshman Seminar (A)
",WI15,15,"
12
","
100.0%
","
100.0%
","
1.17
","
A (4.00)
","
N/A
"
"Dobkins, Karen R.","
TMC 87 - Freshman Seminar (A)
",FA14,11,"
8
","
87.5%
","
100.0%
","
0.75
","
N/A
","
N/A
"
"Dobkins, Karen R.","
TMC 87 - Freshman Seminar (A)
",SP14,16,"
7
","
100.0%
","
100.0%
","
0.79
","
A (4.00)
","
N/A
"
"Desposato, Scott","
TMC 87 - Freshman Seminar (A)
",FA13,12,"
10
","
77.8%
","
100.0%
","
1.17
","
A (4.00)
","
N/A
"
