Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Gaudette, Jennifer Colleen","
USP 101 - Introduction/Policy Analysis (A)
",SP23,15,"
3
","
100.0%
","
100.0%
","
4.50
","
B+ (3.67)
","
N/A
"
"Bergman, Matthew Edward","
USP 101 - Introduction/Policy Analysis (A)
",SP22,19,"
7
","
50.0%
","
83.3%
","
6.10
","
B+ (3.40)
","
N/A
"
"Hajnal, Zoltan Lloyd","
USP 101 - Introduction/Policy Analysis (A)
",FA18,15,"
7
","
85.7%
","
85.7%
","
3.93
","
B- (2.86)
","
N/A
"
"Bergman, Matthew Edward","
USP 101 - Introduction/Policy Analysis (A)
",FA17,16,"
5
","
20.0%
","
60.0%
","
6.50
","
C+ (2.40)
","
N/A
"
"Bergman, Matthew Edward","
USP 101 - Introduction/Policy Analysis (A)
",FA16,18,"
9
","
50.0%
","
87.5%
","
4.75
","
B- (2.86)
","
N/A
"
"Hajnal, Zoltan Lloyd","
USP 101 - Introduction/Policy Analysis (A)
",FA15,14,"
7
","
100.0%
","
100.0%
","
4.21
","
B (3.14)
","
N/A
"
"Levitt, Justin M","
USP 101 - Introduction/Policy Analysis (A)
",FA13,8,"
4
","
75.0%
","
100.0%
","
2.50
","
B+ (3.50)
","
N/A
"
"Hajnal, Zoltan Lloyd               ","
USP 101 - Introduction/Policy Analysis   (A)
",FA10,171,"
89
","
87.2%
","
89.7%
","
4.31
","
N/A
","
B (3.16)
"
"Hajnal, Zoltan Lloyd               ","
USP 101 - Introduction/Policy Analysis   (A)
",FA09,148,"
89
","
84.9%
","
90.8%
","
3.94
","
N/A
","
B- (2.80)
"
"Hajnal, Zoltan Lloyd","
USP 101 - Introduction/Policy Analysis   (A)
",WI09,139,"
93
","
78.7%
","
94.4%
","
3.80
","
N/A
","
B (3.16)
"
"Hajnal, Zoltan Lloyd          ","
USP 101 - Introduction/Policy Analysis   (A)
",FA07,115,"
66
","
82.5%
","
95.2%
","
4.18
","
N/A
","
B- (2.90)
"
