Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Velasco, Diego","
USP 177A - Urban Design Practicum (A)
",SP23,25,"
12
","
100.0%
","
100.0%
","
5.41
","
A- (3.91)
","
A- (3.74)
"
"Velasco, Diego","
USP 177A - Urban Design Practicum (A)
",WI23,25,"
6
","
100.0%
","
100.0%
","
3.30
","
A (4.00)
","
A- (3.82)
"
"Peerson, Susan","
USP 177A - Urban Design Practicum (A)
",FA22,25,"
6
","
100.0%
","
100.0%
","
5.50
","
B+ (3.67)
","
B+ (3.62)
"
"Velasco, Diego","
USP 177A - Urban Design Practicum (A)
",SP22,22,"
4
","
100.0%
","
100.0%
","
3.00
","
B+ (3.67)
","
A- (3.97)
"
"Velasco, Diego","
USP 177A - Urban Design Practicum (A)
",WI22,26,"
6
","
100.0%
","
100.0%
","
3.17
","
A (4.00)
","
A- (3.87)
"
"Peerson, Susan","
USP 177A - Urban Design Practicum (A)
",FA21,25,"
4
","
100.0%
","
100.0%
","
8.00
","
A- (3.75)
","
A- (3.74)
"
"Wright, Nicholle Narhi","
USP 177A - Urban Design Practicum (A)
",SP21,14,"
5
","
80.0%
","
80.0%
","
5.30
","
A- (3.75)
","
N/A
"
"Velasco, Diego","
USP 177A - Urban Design Practicum (A)
",WI21,25,"
6
","
100.0%
","
100.0%
","
3.50
","
A- (3.83)
","
A- (3.91)
"
"Peerson, Susan","
USP 177A - Urban Design Practicum (A)
",FA20,12,"
9
","
100.0%
","
100.0%
","
7.61
","
B+ (3.56)
","
N/A
"
"Peerson, Susan","
USP 177A - Urban Design Practicum (A)
",S120,13,"
3
","
100.0%
","
100.0%
","
8.50
","
A (4.00)
","
N/A
"
"Wright, Nicholle Narhi","
USP 177A - Urban Design Practicum (A)
",SP20,12,"
5
","
100.0%
","
100.0%
","
7.50
","
A- (3.75)
","
N/A
"
"Velasco, Diego","
USP 177A - Urban Design Practicum (A)
",WI20,25,"
7
","
100.0%
","
100.0%
","
3.64
","
B+ (3.57)
","
A- (3.93)
"
