Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Polat, Soydan Alihan","
USP 4 - Intro/Geographic Info Systems (A)
",SP23,25,"
9
","
100.0%
","
100.0%
","
3.83
","
A- (3.88)
","
B+ (3.56)
"
"Polat, Soydan Alihan","
USP 4 - Intro/Geographic Info Systems (A)
",WI23,24,"
7
","
100.0%
","
100.0%
","
3.36
","
B (3.29)
","
B+ (3.47)
"
"Polat, Soydan Alihan","
USP 4 - Intro/Geographic Info Systems (A)
",FA22,25,"
10
","
88.9%
","
88.9%
","
4.50
","
B+ (3.67)
","
A- (3.75)
"
"McTague, Sarah","
USP 4 - Intro/Geographic Info Systems (B)
",FA22,26,"
5
","
100.0%
","
100.0%
","
4.90
","
A (4.00)
","
B+ (3.45)
"
"Polat, Soydan Alihan","
USP 4 - Intro/Geographic Info Systems (A)
",SP22,37,"
9
","
100.0%
","
100.0%
","
4.28
","
A (4.00)
","
B+ (3.69)
"
"Polat, Soydan Alihan","
USP 4 - Intro/Geographic Info Systems (A)
",WI22,37,"
10
","
100.0%
","
100.0%
","
4.06
","
A- (3.78)
","
B (3.27)
"
"Wartell, Julie Dara","
USP 4 - Intro/Geographic Info Systems (A)
",FA21,39,"
15
","
92.3%
","
84.6%
","
5.12
","
A- (3.83)
","
B+ (3.66)
"
"Polat, Soydan Alihan","
USP 4 - Intro/Geographic Info Systems (A)
",SP21,33,"
12
","
83.3%
","
75.0%
","
5.33
","
B+ (3.50)
","
B+ (3.34)
"
"Polat, Soydan Alihan","
USP 4 - Intro/Geographic Info Systems (A)
",WI21,14,"
9
","
88.9%
","
87.5%
","
3.17
","
B+ (3.43)
","
N/A
"
"Wartell, Julie Dara","
USP 4 - Intro/Geographic Info Systems (A)
",FA20,35,"
16
","
86.7%
","
100.0%
","
5.13
","
A- (3.80)
","
B+ (3.64)
"
"Hajrasouliha, Amir Hossein","
USP 4 - Intro/Geographic Info Systems (A)
",S220,11,"
5
","
100.0%
","
80.0%
","
6.10
","
A- (3.80)
","
N/A
"
"Polat, Soydan Alihan","
USP 4 - Intro/Geographic Info Systems (A)
",SP20,25,"
12
","
100.0%
","
100.0%
","
6.50
","
A- (3.91)
","
A- (3.72)
"
"Wartell, Julie Dara","
USP 4 - Intro/Geographic Info Systems (A)
",FA19,24,"
9
","
88.9%
","
88.9%
","
3.25
","
A- (3.86)
","
B+ (3.47)
"
