Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Tonies, Joshua Vanjaymes","
VIS 105B - Drawing: Practices and Genre (A)
",WI23,24,"
8
","
100.0%
","
100.0%
","
7.00
","
A (4.00)
","
A- (3.81)
"
"Tobe, Geoffroy","
VIS 105B - Drawing: Practices and Genre (A)
",FA22,28,"
14
","
100.0%
","
100.0%
","
6.96
","
A- (3.92)
","
A- (3.82)
"
"Chapin, Taylor Mackenzie","
VIS 105B - Drawing: Practices and Genre (A)
",WI22,27,"
15
","
100.0%
","
100.0%
","
8.23
","
A (4.00)
","
A- (3.94)
"
"Nichols, Maia Isabelle","
VIS 105B - Drawing: Practices and Genre (A)
",FA21,19,"
7
","
100.0%
","
83.3%
","
5.36
","
A- (3.86)
","
N/A
"
"Herc-Balaszek, Malgorzata","
VIS 105B - Drawing: Practices and Genre (A)
",WI21,19,"
17
","
100.0%
","
100.0%
","
8.62
","
A- (3.76)
","
N/A
"
"Herc-Balaszek, Malgorzata","
VIS 105B - Drawing: Practices and Genre (A)
",FA20,14,"
8
","
100.0%
","
100.0%
","
7.64
","
B+ (3.43)
","
N/A
"
"De Luca, Mara Julia","
VIS 105B - Drawing: Practices and Genre (A)
",WI20,16,"
4
","
100.0%
","
100.0%
","
7.00
","
A (4.00)
","
N/A
"
"Humphrey, Malisa N.","
VIS 105B - Drawing: Practices and Genre (A)
",FA19,15,"
11
","
100.0%
","
100.0%
","
9.39
","
B+ (3.63)
","
N/A
"
"Costello, Kate M","
VIS 105B - Drawing: Practices and Genre (A)
",WI19,8,"
4
","
100.0%
","
100.0%
","
6.00
","
B+ (3.33)
","
N/A
"
"Ortiz-Torres, Ruben","
VIS 105B - Drawing: Practices and Genre (A)
",FA18,22,"
11
","
80.0%
","
70.0%
","
5.10
","
A- (3.75)
","
B+ (3.54)
"
"Lajarin-Encina, Aitor","
VIS 105B - Drawing: Practices and Genre (A)
",WI18,20,"
11
","
90.9%
","
90.9%
","
6.50
","
A- (3.90)
","
A- (3.92)
"
"Coughlan, Michael","
VIS 105B - Drawing: Practices and Genre (A)
",FA17,17,"
16
","
100.0%
","
87.5%
","
6.75
","
A- (3.88)
","
N/A
"
"Bedford, Elizabeth W","
VIS 105B - Drawing: Practices and Genre (A)
",SP17,25,"
14
","
100.0%
","
100.0%
","
6.21
","
A- (3.93)
","
A- (3.92)
"
"Quesnell, Iana Kathleen","
VIS 105B - Drawing: Practices and Genre (A)
",SP16,16,"
12
","
90.9%
","
100.0%
","
5.23
","
A- (3.82)
","
N/A
"
"Lim, Won Ju","
VIS 105B - Drawing: Practices and Genre (A)
",FA15,25,"
17
","
87.5%
","
75.0%
","
3.79
","
A- (3.87)
","
B+ (3.64)
"
"Bryan, Edgar J","
VIS 105B - Drawing: Practices and Genre (A)
",FA14,28,"
9
","
100.0%
","
57.1%
","
6.21
","
A- (3.71)
","
A- (3.99)
"
"Ortiz-Torres, Ruben","
VIS 105B - Drawing: Practices and Genre (A)
",WI14,14,"
6
","
100.0%
","
100.0%
","
5.50
","
A (4.00)
","
N/A
"
"Bryan, Edgar J","
VIS 105B - Drawing: Practices and Genre (A)
",FA13,18,"
4
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Ziperstein, Bari","
VIS 105B - Drawing: Practices and Genre (A)
",WI13,18,"
7
","
100.0%
","
100.0%
","
5.83
","
A- (3.86)
","
N/A
"
"Tannatt, Mateo Montoya","
VIS 105B - Drawing: Practices and Genre (A)
",FA12,19,"
10
","
100.0%
","
88.9%
","
3.83
","
A (4.00)
","
N/A
"
