Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Dean, Danielle Adobi","
VIS 105C - Drawing: Portfolio Projects (A)
",WI23,16,"
10
","
90.0%
","
66.7%
","
5.50
","
A- (3.90)
","
N/A
"
"Tonies, Joshua Vanjaymes","
VIS 105C - Drawing: Portfolio Projects (A)
",WI22,13,"
3
","
100.0%
","
100.0%
","
9.83
","
A (4.00)
","
N/A
"
"Dean, Danielle Adobi","
VIS 105C - Drawing: Portfolio Projects (A)
",SP21,14,"
11
","
100.0%
","
90.9%
","
7.95
","
B+ (3.64)
","
N/A
"
"Jennings, Angela M","
VIS 105C - Drawing: Portfolio Projects (A)
",SP20,12,"
4
","
100.0%
","
100.0%
","
7.50
","
B+ (3.50)
","
N/A
"
"Costello, Kate M","
VIS 105C - Drawing: Portfolio Projects (A)
",SP19,14,"
4
","
50.0%
","
50.0%
","
5.50
","
B+ (3.67)
","
N/A
"
"Ortiz-Torres, Ruben","
VIS 105C - Drawing: Portfolio Projects (A)
",WI19,14,"
5
","
60.0%
","
60.0%
","
5.70
","
B (3.25)
","
N/A
"
"Boadwee, Keith","
VIS 105C - Drawing: Portfolio Projects (A)
",SP18,15,"
8
","
100.0%
","
87.5%
","
9.25
","
A- (3.75)
","
N/A
"
"Ortiz-Torres, Ruben","
VIS 105C - Drawing: Portfolio Projects (A)
",FA17,12,"
7
","
71.4%
","
57.1%
","
7.93
","
B+ (3.33)
","
N/A
"
"Bedford, Elizabeth W","
VIS 105C - Drawing: Portfolio Projects (A)
",FA16,12,"
10
","
100.0%
","
100.0%
","
7.25
","
A- (3.78)
","
N/A
"
"Adler, Amy","
VIS 105C - Drawing: Portfolio Projects (A)
",WI16,16,"
12
","
100.0%
","
100.0%
","
8.67
","
A (4.00)
","
N/A
"
"Adler, Amy","
VIS 105C - Drawing: Portfolio Projects (A)
",WI15,16,"
5
","
100.0%
","
100.0%
","
8.50
","
A (4.00)
","
N/A
"
"Adler, Amy","
VIS 105C - Drawing: Portfolio Projects (A)
",SP14,14,"
10
","
100.0%
","
100.0%
","
7.70
","
A- (3.80)
","
N/A
"
"Cruz, Edwin Teddy","
VIS 105C - Drawing: Portfolio Projects (A)
",WI14,9,"
3
","
33.3%
","
33.3%
","
2.50
","
A (4.00)
","
N/A
"
"Pastor, Jennifer C","
VIS 105C - Drawing: Portfolio Projects (A)
",WI13,16,"
8
","
100.0%
","
85.7%
","
7.36
","
A (4.00)
","
N/A
"
