Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Li, Huai","
VIS 105D - Aesthetics/Chinese Calligraphy (A)
",WI23,27,"
11
","
100.0%
","
100.0%
","
4.14
","
A (4.00)
","
A- (3.91)
"
"Li, Huai","
VIS 105D - Aesthetics/Chinese Calligraphy (A)
",S122,25,"
4
","
100.0%
","
100.0%
","
5.50
","
A- (3.75)
","
A- (3.74)
"
"Li, Huai","
VIS 105D - Aesthetics/Chinese Calligraphy (A)
",WI22,25,"
7
","
85.7%
","
85.7%
","
5.36
","
A- (3.86)
","
B+ (3.70)
"
"Li, Huai","
VIS 105D - Aesthetics/Chinese Calligraphy (A)
",S121,21,"
5
","
100.0%
","
100.0%
","
4.50
","
A- (3.80)
","
A- (3.80)
"
"Li, Huai","
VIS 105D - Aesthetics/Chinese Calligraphy (A)
",WI21,24,"
9
","
100.0%
","
100.0%
","
4.94
","
A- (3.89)
","
A- (3.95)
"
"Li, Huai","
VIS 105D - Aesthetics/Chinese Calligraphy (A)
",S120,22,"
7
","
85.7%
","
71.4%
","
6.21
","
A (4.00)
","
A- (3.91)
"
"Li, Huai","
VIS 105D - Aesthetics/Chinese Calligraphy (A)
",WI20,25,"
12
","
100.0%
","
100.0%
","
6.17
","
A- (3.92)
","
B+ (3.67)
"
"Li, Huai","
VIS 105D - Aesthetics/Chinese Calligraphy (A)
",S119,22,"
5
","
100.0%
","
100.0%
","
4.90
","
A (4.00)
","
A- (3.80)
"
"Li, Huai","
VIS 105D - Aesthetics/Chinese Calligraphy (A)
",WI19,25,"
12
","
88.9%
","
88.9%
","
5.90
","
A (4.00)
","
A- (3.90)
"
"Li, Huai","
VIS 105D - Aesthetics/Chinese Calligraphy (A)
",S118,22,"
6
","
83.3%
","
100.0%
","
2.83
","
A (4.00)
","
A- (3.93)
"
"Li, Huai","
VIS 105D - Aesthetics/Chinese Calligraphy (A)
",WI18,25,"
12
","
100.0%
","
100.0%
","
4.33
","
A- (3.75)
","
A- (3.77)
"
"Li, Huai","
VIS 105D - Aesthetics/Chinese Calligraphy (A)
",S117,20,"
5
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
A- (3.77)
"
"Li, Huai","
VIS 105D - Aesthetics/Chinese Calligraphy (A)
",WI17,24,"
12
","
100.0%
","
100.0%
","
4.28
","
A (4.00)
","
A- (3.85)
"
"Li, Huai","
VIS 105D - Aesthetics/Chinese Calligraphy (A)
",S116,13,"
5
","
100.0%
","
100.0%
","
0.90
","
A- (3.80)
","
N/A
"
"Li, Huai","
VIS 105D - Aesthetics/Chinese Calligraphy (A)
",WI16,19,"
11
","
100.0%
","
100.0%
","
2.90
","
A- (3.90)
","
N/A
"
"Li, Huai","
VIS 105D - Aesthetics/Chinese Calligraphy (A)
",S115,16,"
7
","
100.0%
","
100.0%
","
3.50
","
A (4.00)
","
N/A
"
"Li, Huai","
VIS 105D - Aesthetics/Chinese Calligraphy (A)
",WI15,31,"
14
","
84.6%
","
92.3%
","
4.33
","
A- (3.83)
","
A- (3.90)
"
"Li, Huai","
VIS 105D - Aesthetics/Chinese Calligraphy (B)
",S114,14,"
5
","
100.0%
","
100.0%
","
3.30
","
A (4.00)
","
N/A
"
"Li, Huai","
VIS 105D - Aesthetics/Chinese Calligraphy (A)
",WI14,24,"
7
","
85.7%
","
57.1%
","
3.36
","
A (4.00)
","
A- (3.89)
"
"Li, Huai","
VIS 105D - Aesthetics/Chinese Calligraphy (A)
",S113,22,"
3
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
A- (3.75)
"
"Li, Huai","
VIS 105D - Aesthetics/Chinese Calligraphy (A)
",WI13,29,"
20
","
100.0%
","
100.0%
","
2.40
","
A- (3.95)
","
A- (3.86)
"
