Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Li, Huai","
VIS 105E - Chin Calligraphy/Installation (A)
",SP23,12,"
6
","
100.0%
","
100.0%
","
5.30
","
A- (3.80)
","
N/A
"
"Li, Huai","
VIS 105E - Chin Calligraphy/Installation (A)
",SP22,15,"
6
","
100.0%
","
100.0%
","
5.83
","
A- (3.83)
","
N/A
"
"Li, Huai","
VIS 105E - Chin Calligraphy/Installation (A)
",SP21,15,"
5
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
N/A
"
"Li, Huai","
VIS 105E - Chin Calligraphy/Installation (A)
",SP20,11,"
5
","
100.0%
","
100.0%
","
5.70
","
A (4.00)
","
N/A
"
"Li, Huai","
VIS 105E - Chin Calligraphy/Installation (A)
",SP19,16,"
10
","
100.0%
","
100.0%
","
7.10
","
A (4.00)
","
N/A
"
"Li, Huai","
VIS 105E - Chin Calligraphy/Installation (A)
",SP18,15,"
8
","
100.0%
","
100.0%
","
6.25
","
A (4.00)
","
N/A
"
"Li, Huai","
VIS 105E - Chin Calligraphy/Installation (A)
",SP17,16,"
11
","
100.0%
","
100.0%
","
3.95
","
A (4.00)
","
N/A
"
"Li, Huai","
VIS 105E - Chin Calligraphy/Installation (A)
",SP16,13,"
10
","
100.0%
","
100.0%
","
5.50
","
A (4.00)
","
N/A
"
"Li, Huai","
VIS 105E - Chin Calligraphy/Installation (A)
",SP15,15,"
7
","
100.0%
","
100.0%
","
5.17
","
A- (3.83)
","
N/A
"
"Li, Huai","
VIS 105E - Chin Calligraphy/Installation (A)
",SP14,14,"
6
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Li, Huai","
VIS 105E - Chin Calligraphy/Installation (A)
",SP13,12,"
8
","
100.0%
","
100.0%
","
3.50
","
A (4.00)
","
N/A
"
