Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Ortiz-Torres, Ruben","
VIS 110M - Studio Honors I (A)
",WI23,11,"
5
","
100.0%
","
100.0%
","
10.10
","
A- (3.80)
","
N/A
"
"Iglesias, Janelle Ann","
VIS 110M - Studio Honors I (A)
",WI22,13,"
3
","
100.0%
","
100.0%
","
7.83
","
A (4.00)
","
N/A
"
"Gallaccio, Anya","
VIS 110M - Studio Honors I (A)
",WI21,11,"
8
","
87.5%
","
75.0%
","
7.25
","
A- (3.75)
","
N/A
"
"Vangenderen, Monique Luise","
VIS 110M - Studio Honors I (A)
",WI20,10,"
3
","
100.0%
","
100.0%
","
11.83
","
A (4.00)
","
N/A
"
"Vangenderen, Monique Luise","
VIS 110M - Studio Honors I (A)
",WI19,10,"
7
","
100.0%
","
100.0%
","
9.64
","
A- (3.86)
","
N/A
"
"Vangenderen, Monique Luise","
VIS 110M - Studio Honors I (A)
",WI18,14,"
11
","
100.0%
","
100.0%
","
9.10
","
A- (3.82)
","
N/A
"
"Vangenderen, Monique Luise","
VIS 110M - Studio Honors I (A)
",WI17,13,"
9
","
88.9%
","
100.0%
","
10.28
","
A- (3.89)
","
N/A
"
"Ortiz-Torres, Ruben","
VIS 110M - Studio Honors I (A)
",FA15,12,"
8
","
80.0%
","
60.0%
","
5.30
","
A (4.00)
","
N/A
"
"Silva, Ernest Ronald","
VIS 110M - Studio Honors I (A)
",FA13,11,"
6
","
100.0%
","
100.0%
","
10.83
","
A (4.00)
","
N/A
"
"Pastor, Jennifer C","
VIS 110M - Studio Honors I (A)
",FA12,11,"
8
","
100.0%
","
71.4%
","
7.93
","
A (4.00)
","
N/A
"
