Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Gaines, Malik Julian","
VIS 128C - Topics in Modern Art History (A)
",WI23,54,"
8
","
75.0%
","
100.0%
","
2.75
","
B (3.00)
","
B+ (3.41)
"
"Rose, Jordan M","
VIS 128C - Topics in Modern Art History (A)
",SP21,75,"
23
","
90.5%
","
90.5%
","
4.79
","
A- (3.83)
","
B+ (3.64)
"
"Welchman, John C.","
VIS 128C - Topics in Modern Art History (A)
",FA20,39,"
11
","
81.8%
","
90.9%
","
5.05
","
B+ (3.40)
","
B+ (3.39)
"
"Rose, Jordan M","
VIS 128C - Topics in Modern Art History (A)
",S119,18,"
3
","
100.0%
","
100.0%
","
12.50
","
A (4.00)
","
N/A
"
"Welchman, John C.","
VIS 128C - Topics in Modern Art History (A)
",SP19,35,"
14
","
61.5%
","
76.9%
","
4.35
","
B (3.22)
","
B (3.29)
"
"Welchman, John C.","
VIS 128C - Topics in Modern Art History (A)
",SP18,18,"
5
","
80.0%
","
100.0%
","
6.10
","
B+ (3.60)
","
N/A
"
"Nodelman, Sheldon A.","
VIS 128C - Topics in Modern Art History (A)
",WI18,26,"
10
","
60.0%
","
60.0%
","
4.30
","
B- (2.75)
","
C+ (2.57)
"
"Kester, Grant","
VIS 128C - Topics in Modern Art History (A)
",FA17,29,"
16
","
93.8%
","
87.5%
","
6.63
","
A- (3.73)
","
B+ (3.56)
"
"Checagismero, Paloma","
VIS 128C - Topics in Modern Art History (A)
",S117,21,"
10
","
70.0%
","
70.0%
","
7.70
","
B (3.22)
","
B (3.01)
"
"Cruz, Edwin Teddy","
VIS 128C - Topics in Modern Art History (A)
",SP17,50,"
27
","
92.3%
","
92.3%
","
4.26
","
A- (3.80)
","
A- (3.88)
"
"Williams, Alena J","
VIS 128C - Topics in Modern Art History (A)
",WI17,14,"
10
","
80.0%
","
100.0%
","
4.90
","
B+ (3.44)
","
N/A
"
"Welchman, John C.","
VIS 128C - Topics in Modern Art History (A)
",SP16,20,"
16
","
87.5%
","
93.8%
","
4.77
","
B+ (3.36)
","
B+ (3.49)
"
"Cruz, Edwin Teddy","
VIS 128C - Topics in Modern Art History (A)
",WI16,31,"
15
","
93.3%
","
100.0%
","
3.97
","
A (4.00)
","
A- (3.83)
"
"Kester, Grant","
VIS 128C - Topics in Modern Art History (A)
",FA15,34,"
20
","
80.0%
","
90.0%
","
5.30
","
B+ (3.31)
","
B (3.25)
"
"Crasnow, Sascha Manya","
VIS 128C - Topics in Modern Art History (A)
",S115,11,"
9
","
77.8%
","
77.8%
","
4.72
","
A- (3.75)
","
N/A
"
"Williams, Alena J","
VIS 128C - Topics in Modern Art History (A)
",WI15,21,"
8
","
100.0%
","
100.0%
","
7.00
","
B+ (3.50)
","
B- (2.92)
"
"Goodman, Emily Elizabeth","
VIS 128C - Topics in Modern Art History (A)
",S114,20,"
10
","
90.0%
","
100.0%
","
4.90
","
B+ (3.30)
","
B+ (3.37)
"
"Welchman, John C.","
VIS 128C - Topics in Modern Art History (A)
",SP14,12,"
4
","
100.0%
","
100.0%
","
5.50
","
A- (3.75)
","
N/A
"
"Bryson, William N","
VIS 128C - Topics in Modern Art History (B)
",SP14,35,"
13
","
75.0%
","
91.7%
","
4.33
","
B+ (3.33)
","
B- (2.96)
"
"Nodelman, Sheldon A.","
VIS 128C - Topics in Modern Art History (B)
",SP14,35,"
14
","
66.7%
","
41.7%
","
4.50
","
B+ (3.30)
","
B- (2.96)
"
"Bullock, Lara K","
VIS 128C - Topics in Modern Art History (A)
",S113,31,"
4
","
100.0%
","
100.0%
","
4.50
","
B+ (3.67)
","
B+ (3.60)
"
"Holland, Nicole Murphy","
VIS 128C - Topics in Modern Art History (A)
",FA12,25,"
6
","
83.3%
","
83.3%
","
2.83
","
B+ (3.50)
","
A- (3.76)
"
