Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Stone, Patricia","
VIS 147A - Electronic Technologies/Art I (A)
",SP23,43,"
16
","
78.6%
","
30.8%
","
4.63
","
A- (3.87)
","
A- (3.83)
"
"Stalbaum, Brett","
VIS 147A - Electronic Technologies/Art I (A)
",FA22,43,"
9
","
88.9%
","
88.9%
","
4.94
","
A- (3.89)
","
A (4.00)
"
"Stone, Patricia","
VIS 147A - Electronic Technologies/Art I (A)
",WI22,40,"
14
","
85.7%
","
85.7%
","
5.93
","
A- (3.79)
","
A- (3.94)
"
"Navab-Gojrati, Nassem","
VIS 147A - Electronic Technologies/Art I (A)
",FA21,42,"
15
","
100.0%
","
100.0%
","
5.83
","
A- (3.92)
","
B+ (3.31)
"
"Stalbaum, Brett","
VIS 147A - Electronic Technologies/Art I (A)
",WI21,43,"
15
","
84.6%
","
84.6%
","
6.96
","
A- (3.92)
","
A- (3.80)
"
"Stalbaum, Brett","
VIS 147A - Electronic Technologies/Art I (A)
",FA20,42,"
15
","
100.0%
","
100.0%
","
7.57
","
B (3.20)
","
A- (3.99)
"
"Stalbaum, Brett","
VIS 147A - Electronic Technologies/Art I (A)
",WI20,39,"
10
","
80.0%
","
100.0%
","
4.70
","
B (3.10)
","
A- (3.79)
"
"Yoldas, Pinar","
VIS 147A - Electronic Technologies/Art I (A)
",FA19,42,"
21
","
85.7%
","
71.4%
","
7.07
","
B+ (3.48)
","
B+ (3.46)
"
"Stalbaum, Brett","
VIS 147A - Electronic Technologies/Art I (A)
",WI19,32,"
14
","
100.0%
","
100.0%
","
5.23
","
B+ (3.60)
","
B (3.21)
"
"Yoldas, Pinar","
VIS 147A - Electronic Technologies/Art I (A)
",FA18,44,"
40
","
100.0%
","
97.4%
","
5.30
","
B+ (3.64)
","
A- (3.82)
"
"Grenader, Emily Ruth","
VIS 147A - Electronic Technologies/Art I (A)
",FA17,45,"
38
","
97.4%
","
92.1%
","
6.82
","
B+ (3.65)
","
B+ (3.60)
"
"Grenader, Emily Ruth","
VIS 147A - Electronic Technologies/Art I (A)
",FA16,38,"
29
","
92.9%
","
92.9%
","
5.81
","
B+ (3.58)
","
B+ (3.55)
"
"Grenader, Emily Ruth","
VIS 147A - Electronic Technologies/Art I (A)
",FA15,54,"
23
","
82.6%
","
82.6%
","
5.41
","
B+ (3.64)
","
B+ (3.46)
"
"Wade, Nathan S","
VIS 147A - Electronic Technologies/Art I (A)
",FA14,33,"
10
","
66.7%
","
77.8%
","
5.61
","
B+ (3.44)
","
B (3.02)
"
"Mehrmand, Elizabeth","
VIS 147A - Electronic Technologies/Art I (A)
",WI14,29,"
11
","
80.0%
","
90.0%
","
6.10
","
A- (3.80)
","
B (3.04)
"
"Gibb, Alicia Marie","
VIS 147A - Electronic Technologies/Art I (A)
",FA12,34,"
6
","
100.0%
","
100.0%
","
5.83
","
A- (3.83)
","
B+ (3.56)
"
