Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Cross, Brian R","
VIS 164 - Photographic Strategies (A)
",SP23,23,"
12
","
100.0%
","
100.0%
","
5.17
","
A- (3.73)
","
A- (3.86)
"
"Wallen, Ruth","
VIS 164 - Photographic Strategies (B)
",SP23,12,"
3
","
100.0%
","
33.3%
","
6.50
","
B+ (3.33)
","
N/A
"
"Erdmann, Dean","
VIS 164 - Photographic Strategies (A)
",WI23,21,"
7
","
85.7%
","
100.0%
","
9.07
","
A- (3.86)
","
B+ (3.40)
"
"Cross, Brian R","
VIS 164 - Photographic Strategies (B)
",WI23,22,"
10
","
100.0%
","
100.0%
","
7.30
","
A- (3.70)
","
A- (3.70)
"
"Nakayama, Yue","
VIS 164 - Photographic Strategies (A)
",FA22,22,"
15
","
86.7%
","
66.7%
","
6.23
","
A- (3.87)
","
A- (3.86)
"
"Gomez Mostajo, Maria Loren","
VIS 164 - Photographic Strategies (A)
",SP22,19,"
3
","
100.0%
","
100.0%
","
3.83
","
A (4.00)
","
N/A
"
"Nakayama, Yue","
VIS 164 - Photographic Strategies (B)
",SP22,21,"
17
","
100.0%
","
100.0%
","
5.88
","
A- (3.88)
","
A- (3.93)
"
"Nakayama, Yue","
VIS 164 - Photographic Strategies (A)
",WI22,22,"
16
","
100.0%
","
100.0%
","
6.10
","
A- (3.87)
","
A- (3.88)
"
"Camargo, William","
VIS 164 - Photographic Strategies (B)
",WI22,22,"
6
","
100.0%
","
100.0%
","
5.83
","
B+ (3.33)
","
B+ (3.65)
"
"Camargo, William","
VIS 164 - Photographic Strategies (A)
",FA21,22,"
12
","
100.0%
","
100.0%
","
4.83
","
A- (3.91)
","
A- (3.92)
"
"Tuerk, Justin Kristoffer","
VIS 164 - Photographic Strategies (A)
",S121,21,"
3
","
100.0%
","
66.7%
","
7.83
","
B+ (3.67)
","
A- (3.76)
"
"Cross, Brian R","
VIS 164 - Photographic Strategies (A)
",SP21,23,"
10
","
100.0%
","
100.0%
","
7.10
","
B+ (3.50)
","
A- (3.71)
"
"Kester, Grant","
VIS 164 - Photographic Strategies (A)
",WI21,21,"
6
","
100.0%
","
100.0%
","
7.83
","
A (4.00)
","
A- (3.82)
"
"Sepuya, Paul Mpagi","
VIS 164 - Photographic Strategies (A)
",FA20,22,"
8
","
100.0%
","
87.5%
","
4.50
","
A- (3.88)
","
B+ (3.67)
"
"Anderson, Shane Nicholas","
VIS 164 - Photographic Strategies (A)
",S120,23,"
5
","
80.0%
","
80.0%
","
7.30
","
A (4.00)
","
B+ (3.67)
"
"Porter, Ava Hermine","
VIS 164 - Photographic Strategies (A)
",SP20,24,"
6
","
100.0%
","
100.0%
","
4.17
","
A (4.00)
","
A (4.00)
"
"Kester, Grant","
VIS 164 - Photographic Strategies (A)
",WI20,23,"
11
","
90.9%
","
100.0%
","
6.14
","
B+ (3.55)
","
B+ (3.47)
"
"Cross, Brian R","
VIS 164 - Photographic Strategies (A)
",FA19,25,"
17
","
100.0%
","
100.0%
","
4.74
","
A- (3.71)
","
B+ (3.68)
"
"Cross, Brian R","
VIS 164 - Photographic Strategies (A)
",SP19,25,"
15
","
100.0%
","
100.0%
","
5.50
","
A- (3.86)
","
A- (3.79)
"
"O'Callaghan, Deirdre M","
VIS 164 - Photographic Strategies (A)
",WI19,22,"
11
","
88.9%
","
66.7%
","
5.61
","
B+ (3.67)
","
B+ (3.50)
"
"Wallen, Ruth","
VIS 164 - Photographic Strategies (A)
",FA18,25,"
8
","
100.0%
","
87.5%
","
8.00
","
A- (3.86)
","
B (3.24)
"
"Gomez Mostajo, Maria Loren","
VIS 164 - Photographic Strategies (A)
",SP18,24,"
10
","
100.0%
","
90.0%
","
7.30
","
A- (3.80)
","
B+ (3.46)
"
"Kester, Grant","
VIS 164 - Photographic Strategies (A)
",WI18,25,"
13
","
100.0%
","
100.0%
","
8.00
","
A- (3.83)
","
B+ (3.60)
"
"Wallen, Ruth","
VIS 164 - Photographic Strategies (A)
",FA17,25,"
12
","
62.5%
","
37.5%
","
4.00
","
B+ (3.38)
","
B+ (3.49)
"
"O'Callaghan, Deirdre M","
VIS 164 - Photographic Strategies (A)
",SP17,21,"
10
","
100.0%
","
100.0%
","
7.39
","
B+ (3.56)
","
B+ (3.53)
"
"O'Callaghan, Deirdre M","
VIS 164 - Photographic Strategies (A)
",WI17,22,"
13
","
100.0%
","
91.7%
","
6.33
","
B+ (3.58)
","
B+ (3.63)
"
