Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Trigilio, Michael","
VIS 183B - Strategies of Alterity (A)
",SP23,24,"
4
","
100.0%
","
100.0%
","
10.50
","
B+ (3.50)
","
B+ (3.37)
"
"Stone, Patricia","
VIS 183B - Strategies of Alterity (A)
",WI23,22,"
7
","
85.7%
","
100.0%
","
6.21
","
A- (3.86)
","
A- (3.85)
"
"Trigilio, Michael","
VIS 183B - Strategies of Alterity (A)
",WI22,23,"
11
","
80.0%
","
90.0%
","
11.10
","
B+ (3.60)
","
A- (3.80)
"
"Wohl, Sam","
VIS 183B - Strategies of Alterity (A)
",SP21,21,"
7
","
80.0%
","
80.0%
","
7.07
","
B+ (3.50)
","
B+ (3.67)
"
"Trigilio, Michael","
VIS 183B - Strategies of Alterity (A)
",WI21,19,"
10
","
100.0%
","
100.0%
","
7.90
","
A- (3.80)
","
N/A
"
"Crandall, Jordan","
VIS 183B - Strategies of Alterity (A)
",SP20,21,"
5
","
80.0%
","
80.0%
","
6.50
","
A (4.00)
","
A (4.00)
"
"Trigilio, Michael","
VIS 183B - Strategies of Alterity (A)
",WI20,20,"
10
","
100.0%
","
100.0%
","
7.90
","
A- (3.70)
","
B+ (3.57)
"
"Trigilio, Michael","
VIS 183B - Strategies of Alterity (A)
",WI19,17,"
10
","
100.0%
","
100.0%
","
11.10
","
B+ (3.50)
","
N/A
"
"Ridlen, Timothy Michael","
VIS 183B - Strategies of Alterity (A)
",FA18,21,"
18
","
61.1%
","
61.1%
","
7.50
","
B+ (3.50)
","
B+ (3.37)
"
"Trigilio, Michael","
VIS 183B - Strategies of Alterity (A)
",SP18,11,"
4
","
100.0%
","
100.0%
","
9.17
","
B+ (3.67)
","
N/A
"
"Crandall, Jordan","
VIS 183B - Strategies of Alterity (A)
",FA17,22,"
8
","
42.9%
","
42.9%
","
7.07
","
A- (3.83)
","
A- (3.71)
"
"Crandall, Jordan","
VIS 183B - Strategies of Alterity (A)
",SP17,20,"
16
","
60.0%
","
66.7%
","
5.97
","
B+ (3.47)
","
B+ (3.51)
"
"Trigilio, Michael","
VIS 183B - Strategies of Alterity (A)
",WI17,21,"
20
","
90.0%
","
90.0%
","
9.10
","
B- (2.90)
","
B- (2.85)
"
"Crandall, Jordan","
VIS 183B - Strategies of Alterity (A)
",FA16,26,"
13
","
91.7%
","
91.7%
","
6.50
","
B+ (3.67)
","
B+ (3.55)
"
"Trigilio, Michael","
VIS 183B - Strategies of Alterity (A)
",WI16,16,"
13
","
100.0%
","
100.0%
","
6.96
","
B (3.23)
","
N/A
"
"Cartwright, Lisa","
VIS 183B - Strategies of Alterity (A)
",FA15,19,"
7
","
100.0%
","
100.0%
","
6.79
","
A- (3.86)
","
N/A
"
"Fagin, Steve","
VIS 183B - Strategies of Alterity (A)
",WI15,14,"
3
","
100.0%
","
100.0%
","
4.50
","
B+ (3.67)
","
N/A
"
"Lertxundi, Laida","
VIS 183B - Strategies of Alterity (A)
",FA14,18,"
4
","
66.7%
","
100.0%
","
7.17
","
B+ (3.67)
","
N/A
"
"WARDWELL, MARIANA RAZO","
VIS 183B - Strategies of Alterity (A)
",SP14,20,"
4
","
100.0%
","
100.0%
","
5.83
","
A- (3.75)
","
A- (3.79)
"
"Fagin, Steve","
VIS 183B - Strategies of Alterity (A)
",WI14,22,"
9
","
50.0%
","
50.0%
","
5.25
","
B+ (3.50)
","
B (3.23)
"
"Lertxundi, Laida","
VIS 183B - Strategies of Alterity (A)
",SP13,21,"
5
","
100.0%
","
80.0%
","
6.90
","
B+ (3.40)
","
A- (3.79)
"
"Fagin, Steve","
VIS 183B - Strategies of Alterity (A)
",WI13,24,"
8
","
75.0%
","
62.5%
","
6.25
","
B+ (3.38)
","
B+ (3.35)
"
