Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Segade, Alexandro Abraham","
VIS 70N - Introduction to Media (A)
",SP23,132,"
67
","
92.4%
","
95.3%
","
3.23
","
A- (3.88)
","
A- (3.80)
"
"Segade, Alexandro Abraham","
VIS 70N - Introduction to Media (A)
",FA22,130,"
57
","
96.2%
","
96.2%
","
3.68
","
A- (3.89)
","
B+ (3.50)
"
"Cho, Erica","
VIS 70N - Introduction to Media (A)
",SP22,123,"
56
","
75.5%
","
56.6%
","
4.50
","
B+ (3.65)
","
B+ (3.38)
"
"Miller, Nicole L","
VIS 70N - Introduction to Media (A)
",FA21,129,"
69
","
85.7%
","
79.7%
","
4.56
","
A- (3.79)
","
B+ (3.53)
"
"Cho, Erica","
VIS 70N - Introduction to Media (A)
",SP21,121,"
52
","
76.5%
","
68.0%
","
6.50
","
B+ (3.51)
","
B (3.27)
"
"Miller, Nicole L","
VIS 70N - Introduction to Media (A)
",FA20,125,"
86
","
90.2%
","
92.7%
","
5.16
","
A- (3.78)
","
A- (3.77)
"
"Trigilio, Michael","
VIS 70N - Introduction to Media (A)
",SP20,81,"
18
","
100.0%
","
100.0%
","
5.09
","
B+ (3.57)
","
B+ (3.35)
"
"Cho, Erica","
VIS 70N - Introduction to Media (A)
",FA19,127,"
78
","
81.6%
","
70.7%
","
6.47
","
B+ (3.64)
","
B+ (3.59)
"
"Trigilio, Michael","
VIS 70N - Introduction to Media (A)
",SP19,124,"
87
","
96.6%
","
96.6%
","
5.07
","
B+ (3.62)
","
B (3.07)
"
"Cross, Brian R","
VIS 70N - Introduction to Media (A)
",FA18,127,"
69
","
84.8%
","
80.3%
","
5.62
","
B+ (3.51)
","
B+ (3.59)
"
"Cross, Brian R","
VIS 70N - Introduction to Media (A)
",SP18,117,"
56
","
85.5%
","
85.2%
","
5.92
","
B+ (3.40)
","
B+ (3.68)
"
"Cho, Erica","
VIS 70N - Introduction to Media (A)
",FA17,128,"
80
","
63.2%
","
53.4%
","
7.62
","
B+ (3.41)
","
B- (2.85)
"
"Cross, Brian R","
VIS 70N - Introduction to Media (A)
",SP17,131,"
59
","
78.8%
","
55.8%
","
4.74
","
B+ (3.46)
","
B+ (3.48)
"
"Trigilio, Michael","
VIS 70N - Introduction to Media (A)
",FA16,88,"
80
","
93.8%
","
97.5%
","
5.78
","
B+ (3.35)
","
B (3.10)
"
"Cross, Brian R","
VIS 70N - Introduction to Media (A)
",SP16,82,"
37
","
91.4%
","
80.0%
","
5.50
","
A- (3.82)
","
A- (3.76)
"
"Trigilio, Michael","
VIS 70N - Introduction to Media (A)
",FA15,84,"
72
","
93.0%
","
95.8%
","
6.24
","
B+ (3.49)
","
B (3.26)
"
"Cross, Brian R","
VIS 70N - Introduction to Media (A)
",SP15,81,"
32
","
90.0%
","
96.7%
","
6.37
","
B+ (3.67)
","
B+ (3.32)
"
"Cross, Brian R","
VIS 70N - Introduction to Media (A)
",FA14,91,"
35
","
93.8%
","
90.6%
","
6.06
","
B+ (3.45)
","
B+ (3.56)
"
"Trigilio, Michael","
VIS 70N - Introduction to Media (A)
",SP14,81,"
29
","
96.2%
","
80.8%
","
6.27
","
B+ (3.65)
","
B+ (3.32)
"
"Trigilio, Michael","
VIS 70N - Introduction to Media (A)
",FA13,162,"
74
","
81.9%
","
98.6%
","
5.32
","
B+ (3.46)
","
B (3.16)
"
"Trigilio, Michael","
VIS 70N - Introduction to Media (A)
",FA12,126,"
64
","
77.4%
","
96.8%
","
5.32
","
B+ (3.55)
","
B+ (3.35)
"
