Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"McCleary, Keith Long","
WCWP 100 - Academic Writing (A)
",SP23,19,"
17
","
94.1%
","
100.0%
","
3.56
","
B+ (3.35)
","
N/A
"
"McCleary, Keith Long","
WCWP 100 - Academic Writing (B)
",SP23,19,"
18
","
88.9%
","
94.1%
","
5.50
","
B (3.17)
","
N/A
"
"Twohig, Niall Ivan","
WCWP 100 - Academic Writing (C)
",SP23,20,"
11
","
100.0%
","
100.0%
","
4.86
","
A- (3.91)
","
A- (3.76)
"
"Twohig, Niall Ivan","
WCWP 100 - Academic Writing (D)
",SP23,20,"
7
","
100.0%
","
100.0%
","
3.07
","
A- (3.71)
","
B (3.17)
"
"Twohig, Niall Ivan","
WCWP 100 - Academic Writing (E)
",SP23,18,"
10
","
100.0%
","
100.0%
","
3.30
","
A- (3.80)
","
N/A
"
"Young, Mark T","
WCWP 100 - Academic Writing (F)
",SP23,18,"
17
","
100.0%
","
100.0%
","
4.62
","
B+ (3.65)
","
N/A
"
"Young, Mark T","
WCWP 100 - Academic Writing (G)
",SP23,18,"
15
","
100.0%
","
100.0%
","
3.36
","
A- (3.93)
","
N/A
"
"Young, Mark T","
WCWP 100 - Academic Writing (H)
",SP23,18,"
16
","
87.5%
","
100.0%
","
5.13
","
A- (3.75)
","
N/A
"
"McCleary, Keith Long","
WCWP 100 - Academic Writing (A)
",WI23,19,"
19
","
100.0%
","
100.0%
","
6.50
","
B+ (3.53)
","
N/A
"
"McCleary, Keith Long","
WCWP 100 - Academic Writing (B)
",WI23,20,"
19
","
100.0%
","
100.0%
","
5.24
","
B+ (3.63)
","
B+ (3.57)
"
"McCleary, Keith Long","
WCWP 100 - Academic Writing (C)
",WI23,18,"
18
","
94.4%
","
100.0%
","
6.06
","
A- (3.71)
","
N/A
"
"Twohig, Niall Ivan","
WCWP 100 - Academic Writing (D)
",WI23,20,"
9
","
100.0%
","
100.0%
","
8.06
","
A- (3.89)
","
A- (3.82)
"
"Young, Mark T","
WCWP 100 - Academic Writing (E)
",WI23,19,"
16
","
93.8%
","
100.0%
","
3.88
","
A (4.00)
","
N/A
"
"Twohig, Niall Ivan","
WCWP 100 - Academic Writing (F)
",WI23,20,"
9
","
88.9%
","
100.0%
","
5.61
","
A- (3.78)
","
B+ (3.47)
"
"Young, Mark T","
WCWP 100 - Academic Writing (G)
",WI23,20,"
16
","
93.8%
","
100.0%
","
3.63
","
A- (3.80)
","
A- (3.99)
"
"Young, Mark T","
WCWP 100 - Academic Writing (H)
",WI23,19,"
15
","
92.9%
","
100.0%
","
5.30
","
B+ (3.60)
","
N/A
"
"McCleary, Keith Long","
WCWP 100 - Academic Writing (A)
",FA22,20,"
18
","
100.0%
","
100.0%
","
5.83
","
B+ (3.50)
","
B+ (3.48)
"
"McCleary, Keith Long","
WCWP 100 - Academic Writing (B)
",FA22,20,"
20
","
100.0%
","
100.0%
","
5.60
","
B+ (3.50)
","
B+ (3.55)
"
"McCleary, Keith Long","
WCWP 100 - Academic Writing (C)
",FA22,20,"
19
","
100.0%
","
100.0%
","
6.18
","
A- (3.79)
","
B+ (3.61)
"
"Twohig, Niall Ivan","
WCWP 100 - Academic Writing (D)
",FA22,19,"
10
","
100.0%
","
100.0%
","
5.70
","
A- (3.70)
","
N/A
"
"Twohig, Niall Ivan","
WCWP 100 - Academic Writing (E)
",FA22,20,"
12
","
100.0%
","
100.0%
","
6.68
","
A- (3.82)
","
B+ (3.56)
"
"Twohig, Niall Ivan","
WCWP 100 - Academic Writing (F)
",FA22,20,"
8
","
100.0%
","
100.0%
","
7.25
","
B+ (3.63)
","
B+ (3.48)
"
"Young, Mark T","
WCWP 100 - Academic Writing (G)
",FA22,20,"
16
","
100.0%
","
100.0%
","
5.88
","
A- (3.81)
","
A- (3.77)
"
"Young, Mark T","
WCWP 100 - Academic Writing (H)
",FA22,19,"
13
","
100.0%
","
100.0%
","
4.04
","
A- (3.77)
","
N/A
"
"Savage, Sarah S","
WCWP 100 - Academic Writing (A)
",S222,11,"
3
","
100.0%
","
100.0%
","
5.83
","
A (4.00)
","
N/A
"
"Twohig, Niall Ivan","
WCWP 100 - Academic Writing (A)
",S122,13,"
7
","
100.0%
","
100.0%
","
7.64
","
A- (3.71)
","
N/A
"
"McCleary, Keith Long","
WCWP 100 - Academic Writing (A)
",SP22,15,"
13
","
92.3%
","
92.3%
","
4.96
","
B+ (3.31)
","
N/A
"
"McCleary, Keith Long","
WCWP 100 - Academic Writing (B)
",SP22,19,"
16
","
93.8%
","
100.0%
","
6.50
","
B+ (3.44)
","
N/A
"
"Twohig, Niall Ivan","
WCWP 100 - Academic Writing (D)
",SP22,19,"
4
","
100.0%
","
100.0%
","
8.50
","
B+ (3.50)
","
N/A
"
"Twohig, Niall Ivan","
WCWP 100 - Academic Writing (E)
",SP22,12,"
8
","
100.0%
","
100.0%
","
4.50
","
A- (3.88)
","
N/A
"
"Young, Mark T","
WCWP 100 - Academic Writing (F)
",SP22,18,"
5
","
80.0%
","
100.0%
","
6.90
","
B+ (3.60)
","
N/A
"
"Young, Mark T","
WCWP 100 - Academic Writing (G)
",SP22,19,"
7
","
83.3%
","
83.3%
","
5.50
","
B (3.17)
","
N/A
"
"McCleary, Keith Long","
WCWP 100 - Academic Writing (0)
",WI22,59,"
55
","
98.2%
","
100.0%
","
6.72
","
B+ (3.42)
","
B+ (3.36)
"
"Twohig, Niall Ivan","
WCWP 100 - Academic Writing (0)
",WI22,60,"
36
","
100.0%
","
100.0%
","
5.61
","
A- (3.77)
","
B+ (3.68)
"
"Young, Mark T","
WCWP 100 - Academic Writing (0)
",WI22,55,"
20
","
84.2%
","
89.5%
","
5.66
","
B (3.26)
","
B (3.29)
"
"McCleary, Keith Long","
WCWP 100 - Academic Writing (0)
",FA21,59,"
57
","
93.0%
","
100.0%
","
5.59
","
B+ (3.51)
","
B+ (3.49)
"
"Twohig, Niall Ivan","
WCWP 100 - Academic Writing (0)
",FA21,58,"
31
","
100.0%
","
100.0%
","
7.15
","
B+ (3.63)
","
B+ (3.61)
"
"Young, Mark T","
WCWP 100 - Academic Writing (0)
",FA21,59,"
19
","
94.1%
","
100.0%
","
7.21
","
B+ (3.47)
","
B+ (3.33)
"
"Tocki, Jasmine Rae","
WCWP 100 - Academic Writing (A)
",S221,16,"
6
","
100.0%
","
100.0%
","
9.17
","
A- (3.80)
","
N/A
"
"Gagnon, Jeffrey C","
WCWP 100 - Academic Writing (B)
",S221,13,"
10
","
100.0%
","
100.0%
","
10.28
","
A- (3.83)
","
N/A
"
"Twohig, Niall Ivan","
WCWP 100 - Academic Writing (B)
",S121,13,"
7
","
100.0%
","
85.7%
","
6.79
","
A (4.00)
","
N/A
"
"McCleary, Keith Long","
WCWP 100 - Academic Writing (A)
",SP21,18,"
17
","
82.4%
","
100.0%
","
6.50
","
B (3.29)
","
N/A
"
"McCleary, Keith Long","
WCWP 100 - Academic Writing (B)
",SP21,18,"
16
","
68.8%
","
87.5%
","
7.00
","
B- (2.93)
","
N/A
"
"Twohig, Niall Ivan","
WCWP 100 - Academic Writing (C)
",SP21,20,"
10
","
88.9%
","
100.0%
","
6.06
","
B+ (3.57)
","
B+ (3.66)
"
"Twohig, Niall Ivan","
WCWP 100 - Academic Writing (D)
",SP21,21,"
7
","
100.0%
","
100.0%
","
5.07
","
A- (3.80)
","
B+ (3.63)
"
"Young, Mark T","
WCWP 100 - Academic Writing (E)
",SP21,19,"
5
","
60.0%
","
80.0%
","
3.30
","
A- (3.80)
","
N/A
"
"Young, Mark T","
WCWP 100 - Academic Writing (F)
",SP21,16,"
3
","
100.0%
","
100.0%
","
12.50
","
A (4.00)
","
N/A
"
"McCleary, Keith Long","
WCWP 100 - Academic Writing (A)
",WI21,18,"
17
","
100.0%
","
100.0%
","
7.56
","
B+ (3.50)
","
N/A
"
"McCleary, Keith Long","
WCWP 100 - Academic Writing (B)
",WI21,19,"
19
","
94.4%
","
100.0%
","
7.34
","
B+ (3.39)
","
N/A
"
"McCleary, Keith Long","
WCWP 100 - Academic Writing (C)
",WI21,20,"
19
","
94.7%
","
94.7%
","
7.34
","
B+ (3.32)
","
B+ (3.43)
"
"Twohig, Niall Ivan","
WCWP 100 - Academic Writing (D)
",WI21,18,"
13
","
100.0%
","
100.0%
","
5.27
","
A- (3.82)
","
N/A
"
"Twohig, Niall Ivan","
WCWP 100 - Academic Writing (E)
",WI21,19,"
12
","
100.0%
","
100.0%
","
6.50
","
B+ (3.60)
","
N/A
"
"Twohig, Niall Ivan","
WCWP 100 - Academic Writing (F)
",WI21,17,"
11
","
90.9%
","
100.0%
","
6.32
","
B+ (3.60)
","
N/A
"
"Young, Mark T","
WCWP 100 - Academic Writing (G)
",WI21,20,"
5
","
100.0%
","
100.0%
","
8.10
","
A- (3.75)
","
B+ (3.49)
"
