Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Boulter, Sherry Lee","
WCWP 10B - The Writing Course B (0)
",SP23,40,"
32
","
100.0%
","
100.0%
","
3.19
","
A- (3.88)
","
A- (3.79)
"
"Johnson, Eric Lynn","
WCWP 10B - The Writing Course B (0)
",SP23,40,"
20
","
100.0%
","
100.0%
","
3.34
","
A- (3.95)
","
A- (3.95)
"
"Lince, Anthony","
WCWP 10B - The Writing Course B (0)
",SP23,60,"
54
","
98.1%
","
100.0%
","
3.80
","
A- (3.93)
","
A- (3.92)
"
"Moon, He Jin","
WCWP 10B - The Writing Course B (0)
",SP23,59,"
19
","
84.2%
","
84.2%
","
3.97
","
A- (3.79)
","
B (3.29)
"
"Savage, Sarah S","
WCWP 10B - The Writing Course B (0)
",SP23,39,"
29
","
100.0%
","
100.0%
","
4.09
","
A- (3.93)
","
A- (3.75)
"
"Tocki, Jasmine Rae","
WCWP 10B - The Writing Course B (0)
",SP23,60,"
41
","
100.0%
","
100.0%
","
3.72
","
A- (3.93)
","
A- (3.95)
"
"Boulter, Sherry Lee","
WCWP 10B - The Writing Course B (0)
",WI23,60,"
53
","
96.1%
","
96.1%
","
3.69
","
A- (3.98)
","
A- (3.79)
"
"Johnson, Eric Lynn","
WCWP 10B - The Writing Course B (0)
",WI23,60,"
49
","
100.0%
","
100.0%
","
2.93
","
A (4.00)
","
A- (3.90)
"
"Savage, Sarah S","
WCWP 10B - The Writing Course B (0)
",WI23,60,"
55
","
100.0%
","
100.0%
","
3.99
","
A- (3.94)
","
A- (3.93)
"
"Tocki, Jasmine Rae","
WCWP 10B - The Writing Course B (0)
",WI23,60,"
30
","
100.0%
","
100.0%
","
4.17
","
A (4.00)
","
A- (3.86)
"
"Welji, Haleema Nazir","
WCWP 10B - The Writing Course B (0)
",WI23,79,"
38
","
83.9%
","
80.6%
","
3.79
","
A- (3.82)
","
A- (3.77)
"
"Tocki, Jasmine Rae","
WCWP 10B - The Writing Course B (0)
",FA22,38,"
22
","
95.5%
","
100.0%
","
4.32
","
A- (3.82)
","
A- (3.78)
"
"Welji, Haleema Nazir","
WCWP 10B - The Writing Course B (0)
",FA22,20,"
16
","
80.0%
","
93.3%
","
4.90
","
B+ (3.67)
","
B+ (3.55)
"
"Rosenberg, Ryan Glenn","
WCWP 10B - The Writing Course B (A)
",S222,11,"
8
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
N/A
"
"Iatarola, Briana Marie","
WCWP 10B - The Writing Course B (B)
",S222,14,"
9
","
100.0%
","
100.0%
","
5.17
","
A- (3.89)
","
N/A
"
"Savage, Sarah S","
WCWP 10B - The Writing Course B (C)
",S222,13,"
4
","
100.0%
","
100.0%
","
5.50
","
A (4.00)
","
N/A
"
"Gagnon, Jeffrey C","
WCWP 10B - The Writing Course B (A)
",S122,6,"
4
","
100.0%
","
100.0%
","
4.00
","
A (4.00)
","
N/A
"
"Rosenberg, Ryan Glenn","
WCWP 10B - The Writing Course B (B)
",S122,15,"
7
","
100.0%
","
100.0%
","
4.21
","
B+ (3.57)
","
N/A
"
"Garvin, Arianna Christina","
WCWP 10B - The Writing Course B (C)
",S122,12,"
9
","
100.0%
","
100.0%
","
5.61
","
A (4.00)
","
N/A
"
"Gagnon, Jeffrey C","
WCWP 10B - The Writing Course B (0)
",SP22,448,"
161
","
95.8%
","
93.5%
","
4.16
","
A- (3.92)
","
A- (3.80)
"
"Welji, Haleema Nazir","
WCWP 10B - The Writing Course B (0)
",SP22,7,"
7
","
100.0%
","
100.0%
","
3.64
","
A- (3.86)
","
N/A
"
"Gagnon, Jeffrey C","
WCWP 10B - The Writing Course B (0)
",WI22,388,"
176
","
93.5%
","
96.9%
","
4.10
","
A- (3.90)
","
A- (3.81)
"
"Gagnon, Jeffrey C","
WCWP 10B - The Writing Course B (0)
",FA21,59,"
23
","
90.0%
","
90.0%
","
4.80
","
A- (3.80)
","
B+ (3.63)
"
"Short, Vincent James","
WCWP 10B - The Writing Course B (A)
",S221,13,"
10
","
90.0%
","
100.0%
","
9.90
","
B (3.25)
","
N/A
"
"Short, Vincent James","
WCWP 10B - The Writing Course B (A)
",S121,14,"
6
","
83.3%
","
100.0%
","
9.17
","
B+ (3.33)
","
N/A
"
"Iatarola, Briana Marie","
WCWP 10B - The Writing Course B (B)
",S121,14,"
13
","
100.0%
","
100.0%
","
7.27
","
B+ (3.67)
","
N/A
"
"Gagnon, Jeffrey C","
WCWP 10B - The Writing Course B (0)
",SP21,502,"
199
","
90.0%
","
96.6%
","
4.93
","
B+ (3.54)
","
B+ (3.53)
"
"Gagnon, Jeffrey C","
WCWP 10B - The Writing Course B (0)
",WI21,472,"
250
","
85.2%
","
94.7%
","
4.99
","
B+ (3.48)
","
B+ (3.55)
"
"Gagnon, Jeffrey C","
WCWP 10B - The Writing Course B (0)
",FA20,60,"
17
","
94.1%
","
100.0%
","
6.62
","
B (3.29)
","
B+ (3.45)
"
"Kolodezh, Samuel","
WCWP 10B - The Writing Course B (A)
",S220,13,"
5
","
80.0%
","
100.0%
","
8.10
","
A (4.00)
","
N/A
"
"Iatarola, Briana Marie","
WCWP 10B - The Writing Course B (B)
",S220,14,"
3
","
100.0%
","
100.0%
","
9.17
","
B+ (3.67)
","
N/A
"
"Jones, Aundrey Maurice","
WCWP 10B - The Writing Course B (B)
",S120,16,"
4
","
50.0%
","
50.0%
","
10.00
","
A- (3.75)
","
N/A
"
"Tocki, Jasmine Rae","
WCWP 10B - The Writing Course B (C)
",S120,15,"
3
","
100.0%
","
100.0%
","
3.83
","
B (3.00)
","
N/A
"
"Gagnon, Jeffrey C","
WCWP 10B - The Writing Course B (0)
",SP20,616,"
216
","
74.3%
","
91.5%
","
4.97
","
B+ (3.50)
","
B+ (3.49)
"
"Gagnon, Jeffrey C","
WCWP 10B - The Writing Course B (0)
",WI20,442,"
279
","
68.7%
","
84.4%
","
4.27
","
B (3.28)
","
B+ (3.31)
"
"Gagnon, Jeffrey C","
WCWP 10B - The Writing Course B (0)
",FA19,87,"
52
","
81.6%
","
97.4%
","
5.70
","
B (3.15)
","
B (3.10)
"
"Short, Vincent James","
WCWP 10B - The Writing Course B (A)
",S219,16,"
14
","
85.7%
","
100.0%
","
9.64
","
B (3.21)
","
N/A
"
"Zimmerman-Liu, Teresa Jean","
WCWP 10B - The Writing Course B (B)
",S219,14,"
13
","
84.6%
","
100.0%
","
8.81
","
B+ (3.31)
","
N/A
"
"Kolodezh, Samuel","
WCWP 10B - The Writing Course B (C)
",S219,15,"
9
","
77.8%
","
100.0%
","
9.61
","
B+ (3.56)
","
N/A
"
"Setoda, Kayleigh Kumiko","
WCWP 10B - The Writing Course B (A)
",S119,17,"
12
","
83.3%
","
100.0%
","
6.50
","
B (3.18)
","
N/A
"
"Tocki, Jasmine Rae","
WCWP 10B - The Writing Course B (B)
",S119,14,"
12
","
100.0%
","
100.0%
","
6.83
","
B+ (3.33)
","
N/A
"
"Gagnon, Jeffrey C","
WCWP 10B - The Writing Course B (0)
",SP19,633,"
337
","
66.7%
","
84.9%
","
4.16
","
B+ (3.34)
","
B+ (3.36)
"
"Gagnon, Jeffrey C","
WCWP 10B - The Writing Course B (0)
",WI19,445,"
278
","
64.4%
","
83.6%
","
5.05
","
B+ (3.30)
","
B+ (3.35)
"
"Gagnon, Jeffrey C","
WCWP 10B - The Writing Course B (0)
",FA18,55,"
17
","
47.1%
","
76.5%
","
4.97
","
B (3.06)
","
B (3.13)
"
"Gagnon, Jeffrey C","
WCWP 10B - The Writing Course B (A)
",S218,16,"
6
","
66.7%
","
100.0%
","
10.17
","
B (3.17)
","
N/A
"
"Blomstedt, Elizabeth Ann","
WCWP 10B - The Writing Course B (B)
",S218,16,"
3
","
100.0%
","
100.0%
","
8.50
","
B+ (3.50)
","
N/A
"
"Pesch, Katrin","
WCWP 10B - The Writing Course B (A)
",S118,16,"
15
","
60.0%
","
100.0%
","
8.50
","
B (3.07)
","
N/A
"
"Ridlen, Timothy Michael","
WCWP 10B - The Writing Course B (B)
",S118,15,"
14
","
61.5%
","
100.0%
","
8.65
","
B+ (3.36)
","
N/A
"
"Gagnon, Jeffrey C","
WCWP 10B - The Writing Course B (0)
",SP18,511,"
372
","
55.6%
","
77.8%
","
5.92
","
B (3.11)
","
B (3.18)
"
"Gagnon, Jeffrey C","
WCWP 10B - The Writing Course B (0)
",WI18,363,"
240
","
57.9%
","
70.7%
","
6.55
","
B (3.10)
","
B (3.07)
"
"Coulter, Jane Elisabeth","
WCWP 10B - The Writing Course B (A)
",S217,15,"
3
","
0.0%
","
100.0%
","
14.50
","
B+ (3.50)
","
N/A
"
"Roxworthy, Emily","
WCWP 10B - The Writing Course B (0)
",SP17,470,"
218
","
61.8%
","
74.2%
","
6.98
","
B (3.19)
","
B (3.18)
"
"Roxworthy, Emily","
WCWP 10B - The Writing Course B (0)
",WI17,341,"
154
","
56.3%
","
80.5%
","
7.47
","
B (3.13)
","
B (3.19)
"
"Roxworthy, Emily","
WCWP 10B - The Writing Course B (0)
",FA16,27,"
15
","
69.2%
","
84.6%
","
9.67
","
B (3.08)
","
B (3.09)
"
"Bauer, Holly Jean","
WCWP 10B - The Writing Course B (0)
",SP16,19,"
7
","
71.4%
","
100.0%
","
11.93
","
B+ (3.43)
","
N/A
"
"Gocsik, Karen Marie","
WCWP 10B - The Writing Course B (0)
",SP16,317,"
116
","
61.0%
","
74.3%
","
7.02
","
B (3.16)
","
B (3.06)
"
"Gocsik, Karen Marie","
WCWP 10B - The Writing Course B (0)
",WI16,214,"
116
","
68.0%
","
84.5%
","
7.16
","
B (3.20)
","
B (3.07)
"
"Gonzales, Paulina Margarita","
WCWP 10B - The Writing Course B (A)
",S215,14,"
3
","
100.0%
","
100.0%
","
13.50
","
B (3.00)
","
N/A
"
"Coulter, Jane Elisabeth","
WCWP 10B - The Writing Course B (A)
",S115,10,"
4
","
100.0%
","
100.0%
","
14.00
","
B+ (3.50)
","
N/A
"
"McCleary, Keith Long","
WCWP 10B - The Writing Course B (B)
",S115,15,"
3
","
66.7%
","
100.0%
","
11.17
","
B+ (3.67)
","
N/A
"
"Bauer, Holly Jean","
WCWP 10B - The Writing Course B (0)
",SP15,14,"
6
","
66.7%
","
100.0%
","
10.83
","
B+ (3.33)
","
N/A
"
"Gocsik, Karen Marie","
WCWP 10B - The Writing Course B (0)
",SP15,351,"
136
","
78.7%
","
84.4%
","
7.35
","
B (3.28)
","
B (3.20)
"
"Gocsik, Karen Marie","
WCWP 10B - The Writing Course B (0)
",WI15,347,"
171
","
70.0%
","
88.8%
","
7.26
","
B (3.29)
","
B (3.28)
"
"Chandler, Bailee Daniele","
WCWP 10B - The Writing Course B (A)
",S214,16,"
9
","
88.9%
","
88.9%
","
10.72
","
B (3.00)
","
N/A
"
"Gonzales, Paulina Margarita","
WCWP 10B - The Writing Course B (C)
",S114,14,"
5
","
60.0%
","
80.0%
","
18.10
","
B (3.20)
","
N/A
"
"Bauer, Holly Jean","
WCWP 10B - The Writing Course B (0)
",SP14,21,"
8
","
87.5%
","
100.0%
","
6.50
","
B+ (3.38)
","
B+ (3.53)
"
"Gocsik, Karen Marie","
WCWP 10B - The Writing Course B (0)
",SP14,369,"
139
","
66.7%
","
82.5%
","
7.14
","
B (3.17)
","
B (3.23)
"
"Gocsik, Karen Marie","
WCWP 10B - The Writing Course B (0)
",WI14,264,"
143
","
61.1%
","
77.0%
","
7.00
","
B (3.25)
","
B (3.29)
"
"Mayville, Sarah Jo","
WCWP 10B - The Writing Course B (A)
",S213,9,"
4
","
75.0%
","
100.0%
","
8.50
","
B (3.25)
","
N/A
"
"Gonzales, Paulina Margarita","
WCWP 10B - The Writing Course B (A)
",S113,14,"
4
","
100.0%
","
100.0%
","
11.00
","
B (3.25)
","
N/A
"
"Adler, Steven","
WCWP 10B - The Writing Course B (0)
",SP13,305,"
95
","
74.7%
","
86.8%
","
6.66
","
B (3.22)
","
B (3.13)
"
"Adler, Steven","
WCWP 10B - The Writing Course B (0)
",WI13,326,"
143
","
71.9%
","
85.2%
","
6.73
","
B (3.23)
","
B (3.16)
"
"Bauer, Holly Jean","
WCWP 10B - The Writing Course B (0)
",WI13,14,"
5
","
100.0%
","
100.0%
","
6.10
","
A- (3.75)
","
N/A
"
